Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,6.64B,7.18B,7.66B,7.76B,7.27B
Sales Growth,-,8.13%,6.63%,1.38%,-6.31%
Cost of Goods Sold (COGS) incl. D&A,4.12B,4.57B,4.92B,5.04B,4.74B
COGS Growth,-,10.87%,7.64%,2.52%,-6.03%
COGS excluding D&A,3.84B,4.3B,4.64B,4.77B,4.47B
Depreciation & Amortization Expense,280M,273M,276M,275M,273M
Depreciation,248M,241M,244M,243M,241M
Amortization of Intangibles,32M,32M,32M,32M,32M
Gross Income,2.52B,2.61B,2.74B,2.72B,2.54B
Gross Income Growth,-,3.65%,4.86%,-0.66%,-6.84%
Gross Profit Margin,-,-,-,-,34.85%
SG&A Expense,1.55B,1.36B,1.64B,1.64B,1.61B
SGA Growth,-,-11.84%,20.48%,-0.37%,-1.71%
Research & Development,-,-,-,-,-
Other SG&A,1.55B,1.36B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(418M),(291M),(166M),89M,44M
EBIT after Unusual Expense,418M,291M,166M,(89M),(44M)
Non Operating Income/Expense,67M,45M,(34M),48M,56M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,90M,87M,90M,91M,89M
Interest Expense Growth,-,-3.33%,3.45%,1.11%,-2.20%
Gross Interest Expense,90M,87M,90M,91M,89M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.37B,1.5B,1.14B,954M,851M
Pretax Income Growth,-,9.42%,-23.95%,-16.32%,-10.80%
Pretax Margin,-,-,-,-,11.70%
Income Tax,398M,342M,238M,210M,201M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,107M,105M,103M,117M,98M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.08B,1.26B,1.01B,861M,748M
Minority Interest Expense,1M,4M,2M,6M,1M
Net Income,1.08B,1.26B,1B,855M,747M
Net Income Growth,-,16.70%,-20.27%,-14.76%,-12.63%
Net Margin Growth,-,-,-,-,10.27%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.08B,1.26B,1B,855M,747M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.08B,1.26B,1B,855M,747M
EPS (Basic),0.77,0.9,0.72,0.62,0.54
EPS (Basic) Growth,-,17.36%,-20.10%,-14.32%,-12.20%
Basic Shares Outstanding,1.41B,1.4B,1.4B,1.39B,1.38B
EPS (Diluted),0.76,0.89,0.71,0.61,0.54
EPS (Diluted) Growth,-,17.37%,-20.10%,-14.33%,-12.07%
Diluted Shares Outstanding,1.42B,1.41B,1.41B,1.4B,1.39B
EBITDA,1.26B,1.52B,1.37B,1.36B,1.2B
EBITDA Growth,-,21.35%,-9.78%,-0.95%,-11.76%
EBITDA Margin,-,-,-,-,16.51%
