Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,3.11B,1.76B,2.34B,2.68B,2.97B
Sales Growth,-,-43.44%,33.02%,14.73%,10.72%
Cost of Goods Sold (COGS) incl. D&A,-,645.8M,1.42B,1.53B,1.28B
COGS Growth,-,-,120.65%,7.65%,-16.62%
COGS excluding D&A,-,449.65M,946M,964.1M,702.8M
Depreciation & Amortization Expense,-,196.15M,478.96M,569.81M,576.11M
Depreciation,-,50.16M,72.34M,65.17M,71.85M
Amortization of Intangibles,-,145.99M,406.63M,504.65M,504.26M
Gross Income,1.79B,1.11B,914.61M,1.15B,1.69B
Gross Income Growth,-,-37.92%,-17.83%,25.78%,47.18%
Gross Profit Margin,-,-,-,-,56.97%
SG&A Expense,-,494.65M,633.76M,721.06M,722.35M
SGA Growth,-,-,28.12%,13.77%,0.18%
Research & Development,-,306.9M,395.36M,425.57M,419.53M
Other SG&A,-,187.75M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,9.36M,384.1M,59.73M,46.67M
EBIT after Unusual Expense,-,(9.36M),(384.1M),(59.73M),(46.67M)
Non Operating Income/Expense,-,7.13M,15.22M,1.98M,367K
Non-Operating Interest Income,-,300K,421K,218K,563K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,44.2M,68.56M,48.23M,45.82M
Interest Expense Growth,-,-,55.14%,-29.65%,-5.01%
Gross Interest Expense,-,44.2M,68.56M,48.23M,45.82M
Interest Capitalized,-,-,-,-,-
Pretax Income,847.94M,572.28M,(156.17M),323.56M,879.25M
Pretax Income Growth,-,-32.51%,-127.29%,307.19%,171.75%
Pretax Margin,-,-,-,-,29.58%
Income Tax,98.95M,68.97M,(231.85M),43.48M,95.97M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,748.99M,503.31M,75.69M,280.08M,783.27M
Minority Interest Expense,-,-,-,-,-
Net Income,-,503.31M,75.69M,280.08M,783.27M
Net Income Growth,-,-,-84.96%,270.05%,179.66%
Net Margin Growth,-,-,-,-,26.35%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,503.31M,75.69M,280.08M,783.27M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,503.31M,75.69M,280.08M,783.27M
EPS (Basic),1.45,1.37,0.16,0.53,1.5
EPS (Basic) Growth,-,-5.72%,-88.54%,240.49%,181.23%
Basic Shares Outstanding,517.01M,368.48M,483.35M,525.29M,522.37M
EPS (Diluted),-,1.35,0.16,0.53,1.49
EPS (Diluted) Growth,-,-,-88.53%,240.40%,181.73%
Diluted Shares Outstanding,520.55M,371.85M,487.78M,530.14M,526.26M
EBITDA,-,814.55M,759.81M,999.13M,1.55B
EBITDA Growth,-,-,-6.72%,31.50%,54.83%
EBITDA Margin,-,-,-,-,52.05%
