Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,2.74B,2.65B,3.06B,2.91B,2.91B
Sales Growth,-,-3.15%,15.29%,-4.75%,-0.13%
Cost of Goods Sold (COGS) incl. D&A,2.02B,1.96B,2.31B,2.22B,2.2B
COGS Growth,-,-3.13%,18.14%,-3.84%,-1.05%
COGS excluding D&A,1.92B,1.86B,2.21B,2.13B,2.11B
Depreciation & Amortization Expense,98.1M,96.5M,97M,92.1M,89.8M
Depreciation,83.2M,81.6M,82.2M,77.3M,75M
Amortization of Intangibles,14.9M,14.9M,14.8M,14.8M,14.8M
Gross Income,721.3M,698.2M,749.2M,692.8M,712.4M
Gross Income Growth,-,-3.20%,7.30%,-7.53%,2.83%
Gross Profit Margin,-,-,-,-,24.48%
SG&A Expense,338.6M,295M,318.9M,302M,213.9M
SGA Growth,-,-12.88%,8.10%,-5.30%,-29.17%
Research & Development,-,-,-,-,-
Other SG&A,338.6M,295M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,99.7M,42.5M,27.3M,31.6M,213.4M
EBIT after Unusual Expense,(99.7M),(42.5M),(27.3M),(31.6M),(213.4M)
Non Operating Income/Expense,11.1M,18.4M,22.2M,15.3M,(52.8M)
Non-Operating Interest Income,300K,300K,300K,500K,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,93.1M,94.2M,94.9M,94.3M,96.4M
Interest Expense Growth,-,1.18%,0.74%,-0.63%,2.23%
Gross Interest Expense,95.5M,97.2M,97.9M,97.7M,100.4M
Interest Capitalized,2.4M,3M,3M,3.4M,4M
Pretax Income,201.3M,285.2M,330.6M,280.7M,136.9M
Pretax Income Growth,-,41.68%,15.92%,-15.09%,-51.23%
Pretax Margin,-,-,-,-,4.70%
Income Tax,(75.2M),69.7M,84.2M,109.9M,26.7M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,33.4M,20.2M,29.5M,48.1M,47.5M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,309.9M,235.7M,275.9M,218.9M,157.7M
Minority Interest Expense,400K,300K,400K,500K,(1.2M)
Net Income,309.5M,235.4M,275.5M,218.4M,158.9M
Net Income Growth,-,-23.94%,17.03%,-20.73%,-27.24%
Net Margin Growth,-,-,-,-,5.46%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,309.5M,235.4M,275.5M,218.4M,158.9M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,309.5M,235.4M,275.5M,218.4M,158.9M
EPS (Basic),0.64,0.49,0.57,0.45,0.33
EPS (Basic) Growth,-,-23.91%,17.08%,-20.74%,-27.25%
Basic Shares Outstanding,480.6M,480.4M,480.2M,480.3M,480.4M
EPS (Diluted),0.64,0.49,0.57,0.45,0.33
EPS (Diluted) Growth,-,-23.88%,17.13%,-20.78%,-27.29%
Diluted Shares Outstanding,482.7M,482.3M,481.9M,482.2M,482.5M
EBITDA,480.8M,499.7M,527.3M,482.9M,588.3M
EBITDA Growth,-,3.93%,5.52%,-8.42%,21.83%
EBITDA Margin,-,-,-,-,20.22%
