Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,1.56B,1.46B,1.57B,1.61B,1.68B
Sales Growth,-,-6.24%,7.48%,3.00%,4.21%
Cost of Goods Sold (COGS) incl. D&A,522M,461M,510M,545M,595M
COGS Growth,-,-11.69%,10.63%,6.86%,9.17%
COGS excluding D&A,460M,402M,449M,482M,529M
Depreciation & Amortization Expense,62M,59M,61M,63M,66M
Depreciation,53M,50M,51M,50M,52M
Amortization of Intangibles,9M,9M,10M,13M,14M
Gross Income,1.03B,997M,1.06B,1.07B,1.09B
Gross Income Growth,-,-3.48%,6.02%,1.14%,1.68%
Gross Profit Margin,-,-,-,-,64.63%
SG&A Expense,732M,725M,754M,742M,783M
SGA Growth,-,-0.96%,4.00%,-1.59%,5.53%
Research & Development,221M,210M,216M,220M,235M
Other SG&A,511M,515M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,8M,14M,25M,26M,54M
EBIT after Unusual Expense,(8M),(14M),(25M),(26M),(54M)
Non Operating Income/Expense,160M,(5M),19M,22M,38M
Non-Operating Interest Income,2M,2M,1M,2M,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,19M,18M,18M,19M,18M
Interest Expense Growth,-,-5.26%,0.00%,5.56%,-5.26%
Gross Interest Expense,19M,18M,18M,19M,18M
Interest Capitalized,-,-,-,-,-
Pretax Income,436M,237M,280M,306M,272M
Pretax Income Growth,-,-45.64%,18.14%,9.29%,-11.11%
Pretax Margin,-,-,-,-,16.17%
Income Tax,102M,35M,56M,54M,13M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,334M,202M,224M,252M,259M
Minority Interest Expense,-,-,-,-,-
Net Income,334M,202M,224M,252M,259M
Net Income Growth,-,-39.52%,10.89%,12.50%,2.78%
Net Margin Growth,-,-,-,-,15.40%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,334M,202M,224M,252M,259M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,334M,202M,224M,252M,259M
EPS (Basic),1.5,0.91,1,1.13,1.17
EPS (Basic) Growth,-,-39.79%,10.90%,12.49%,3.25%
Basic Shares Outstanding,222M,223M,223M,223M,222M
EPS (Diluted),1.46,0.88,0.98,1.1,1.14
EPS (Diluted) Growth,-,-39.52%,10.89%,12.49%,3.24%
Diluted Shares Outstanding,229M,229M,229M,229M,228M
EBITDA,363M,331M,364M,390M,370M
EBITDA Growth,-,-8.82%,9.97%,7.14%,-5.13%
EBITDA Margin,-,-,-,-,22.00%
