Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,10.16B,10.06B,9.47B,10.5B,11.36B
Sales Growth,-,-0.93%,-5.91%,10.90%,8.16%
Cost of Goods Sold (COGS) incl. D&A,3.91B,3.93B,4.09B,4.27B,4.68B
COGS Growth,-,0.38%,4.02%,4.36%,9.80%
COGS excluding D&A,3.53B,3.57B,2.64B,3.94B,4.36B
Depreciation & Amortization Expense,383M,362M,1.45B,324M,322M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,6.24B,6.13B,5.38B,6.23B,6.67B
Gross Income Growth,-,-1.75%,-12.28%,15.88%,7.04%
Gross Profit Margin,-,-,-,-,58.76%
SG&A Expense,3.03B,3.12B,3.35B,2.96B,3.19B
SGA Growth,-,3.00%,7.44%,-11.58%,7.46%
Research & Development,-,-,-,-,-
Other SG&A,3.03B,3.12B,-,-,-
Other Operating Expense,-,-,343M,(6M),1.89B
Unusual Expense,725M,418M,(52M),(161M),(775M)
EBIT after Unusual Expense,(725M),(418M),52M,161M,775M
Non Operating Income/Expense,753M,175M,926M,(139M),(413M)
Non-Operating Interest Income,71M,68M,71M,78M,100M
Equity in Affiliates (Pretax),402M,455M,302M,262M,392M
Interest Expense,95M,208M,162M,179M,270M
Interest Expense Growth,-,118.95%,-22.12%,10.49%,50.84%
Gross Interest Expense,95M,208M,162M,179M,270M
Interest Capitalized,-,-,-,-,-
Pretax Income,3.62B,3.08B,2.96B,3.46B,2.28B
Pretax Income Growth,-,-14.76%,-4.02%,16.82%,-33.95%
Pretax Margin,-,-,-,-,20.11%
Income Tax,994M,609M,510M,665M,384M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.62B,2.48B,2.45B,2.79B,1.9B
Minority Interest Expense,(17M),4M,36M,12M,(5M)
Net Income,2.64B,2.47B,2.41B,2.78B,1.91B
Net Income Growth,-,-6.44%,-2.31%,15.20%,-31.50%
Net Margin Growth,-,-,-,-,16.78%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.64B,2.47B,2.41B,2.78B,1.91B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.64B,2.47B,2.41B,2.78B,1.91B
EPS (Basic),0.61,0.57,0.56,0.64,0.44
EPS (Basic) Growth,-,-6.53%,-2.38%,14.91%,-31.50%
Basic Shares Outstanding,4.31B,4.32B,4.32B,4.33B,4.33B
EPS (Diluted),0.61,0.57,0.56,0.64,0.44
EPS (Diluted) Growth,-,-6.57%,-2.37%,14.95%,-31.44%
Diluted Shares Outstanding,4.34B,4.34B,4.35B,4.36B,4.35B
EBITDA,3.6B,3.37B,3.14B,3.6B,1.92B
EBITDA Growth,-,-6.15%,-7.05%,14.76%,-46.62%
EBITDA Margin,-,-,-,-,16.92%
