Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,11.96B,13.76B,17.72B,18.76B,16.93B
Sales Growth,-,15.04%,28.80%,5.85%,-9.71%
Cost of Goods Sold (COGS) incl. D&A,9.07B,10.1B,12.87B,13.3B,12.7B
COGS Growth,-,11.27%,27.48%,3.29%,-4.48%
COGS excluding D&A,8.39B,9.34B,12.02B,12.42B,11.78B
Depreciation & Amortization Expense,681M,761M,848M,880M,922M
Depreciation,461M,495M,530M,551M,578M
Amortization of Intangibles,220M,266M,318M,329M,344M
Gross Income,2.88B,3.66B,4.85B,5.46B,4.23B
Gross Income Growth,-,26.91%,32.43%,12.65%,-22.45%
Gross Profit Margin,-,-,-,-,25.00%
SG&A Expense,1.55B,1.61B,2.23B,1.86B,1.63B
SGA Growth,-,3.62%,39.19%,-16.88%,-12.33%
Research & Development,576M,611M,740M,865M,667M
Other SG&A,973M,994M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,32M,50M,(1M),(1M),148M
EBIT after Unusual Expense,(32M),(50M),1M,1M,(148M)
Non Operating Income/Expense,54M,(7M),67M,55M,34M
Non-Operating Interest Income,11M,10M,25M,28M,26M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,75M,126M,71M,61M,44M
Interest Expense Growth,-,68.00%,-43.65%,-14.08%,-27.87%
Gross Interest Expense,98M,140M,72M,61M,44M
Interest Capitalized,23M,14M,1M,-,-
Pretax Income,1.29B,1.88B,2.64B,3.63B,2.47B
Pretax Income Growth,-,45.55%,40.01%,37.61%,-31.77%
Pretax Margin,-,-,-,-,14.61%
Income Tax,115M,223M,292M,346M,205M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,(5M),(3M)
Consolidated Net Income,1.18B,1.66B,2.34B,3.28B,2.27B
Minority Interest Expense,36M,41M,22M,(38M),10M
Net Income,1.14B,1.62B,2.32B,3.31B,2.26B
Net Income Growth,-,41.68%,43.45%,42.74%,-31.90%
Net Margin Growth,-,-,-,-,13.32%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.14B,1.62B,2.32B,3.31B,2.26B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.14B,1.62B,2.32B,3.31B,2.26B
EPS (Basic),1.18,1.62,2.29,3.2,2.18
EPS (Basic) Growth,-,37.85%,41.05%,40.12%,-32.10%
Basic Shares Outstanding,971M,998M,1.02B,1.03B,1.04B
EPS (Diluted),1.02,1.44,2.04,2.86,1.95
EPS (Diluted) Growth,-,41.17%,41.93%,40.03%,-31.79%
Diluted Shares Outstanding,1.12B,1.12B,1.14B,1.16B,1.16B
EBITDA,2.02B,2.82B,3.46B,4.48B,3.53B
EBITDA Growth,-,39.68%,22.90%,29.53%,-21.30%
EBITDA Margin,-,-,-,-,20.83%
