Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.89B,2.7B,3.08B,3.67B,2.98B
Sales Growth,-,-6.34%,13.95%,19.16%,-18.72%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,(1M),(1M),4M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,2.89B,2.7B,3.08B,3.67B,2.98B
Total Expense,2.16B,2.16B,2.12B,2.27B,2.3B
Total Interest Expense,78M,80M,85M,91M,102M
Depreciation & Amortization Expense,77M,92M,76M,66M,65M
Other Operating Expense,1.69B,1.95B,1.65B,1.81B,1.73B
Operating Income,725M,545M,959M,1.4B,681M
Operating Income Growth,-,-24.83%,75.96%,45.67%,-51.25%
Non-Operating Income (Expense),(13M),30M,162M,(2M),54M
Non-Operating Interest Income,3M,3M,2M,3M,5M
Miscellaneous Non Operating Expense,(19M),24M,159M,(6M),46M
Equity in Affiliates (Pretax),3M,3M,1M,1M,3M
Unusual Expense,38M,1.36B,-,-,-
Pretax Income,596M,(868M),1.04B,1.3B,633M
Pretax Income Growth,-,-245.64%,219.35%,25.87%,-51.46%
Pretax Margin,-,-,-,-,15.84%
Income Taxes,203M,23M,163M,256M,119M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,393M,(891M),873M,1.05B,514M
Minority Interest Expense,14M,9M,10M,25M,13M
Net Income,379M,(900M),863M,1.02B,501M
Net Income Growth,-,-337.47%,195.89%,18.54%,-51.03%
Net Margin Growth,-,-,-,-,16.80%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,379M,(900M),863M,1.02B,501M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,379M,(900M),863M,1.02B,501M
EPS (Basic),1.67,(3.99),3.94,4.75,2.35
EPS (Basic) Growth,-,-339.15%,198.55%,20.74%,-50.57%
Basic Shares Outstanding,227M,225.4M,219.3M,215.3M,213.3M
EPS (Diluted),1.66,(3.99),3.9,4.73,2.33
EPS (Diluted) Growth,-,-340.20%,197.71%,21.17%,-50.64%
Diluted Shares Outstanding,228M,225.4M,221.2M,216.4M,214.7M
