Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.14B,4.3B,4.22B,4.05B,4.64B
Sales Growth,-,3.83%,-1.95%,-3.93%,14.46%
Cost of Goods Sold (COGS) incl. D&A,2.23B,2.33B,2.25B,2.24B,2.54B
COGS Growth,-,4.33%,-3.46%,-0.29%,13.17%
COGS excluding D&A,2.15B,2.25B,2.16B,2.16B,2.45B
Depreciation & Amortization Expense,78.4M,79.87M,81.71M,84.33M,87.93M
Depreciation,60.1M,60.77M,62.21M,63.93M,-
Amortization of Intangibles,18.3M,19.1M,19.5M,20.4M,-
Gross Income,1.91B,1.97B,1.97B,1.81B,2.1B
Gross Income Growth,-,3.25%,-0.16%,-8.08%,16.05%
Gross Profit Margin,-,-,-,-,45.31%
SG&A Expense,600.25M,604.5M,639.26M,624M,621.16M
SGA Growth,-,0.71%,5.75%,-2.39%,-0.46%
Research & Development,381.75M,382.33M,403.64M,407.12M,411.16M
Other SG&A,218.5M,222.17M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(162K),(6.52M),(3.42M),(1.85M),-
EBIT after Unusual Expense,162K,6.52M,3.42M,1.85M,-
Non Operating Income/Expense,46.67M,9.6M,67.33M,(8.38M),(120.45M)
Non-Operating Interest Income,3.72M,4.68M,2.37M,1.94M,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,51.7M,45.06M,46.77M,46.71M,-
Interest Expense Growth,-,-12.84%,3.79%,-0.12%,-
Gross Interest Expense,51.7M,45.06M,46.77M,46.71M,-
Interest Capitalized,-,-,-,-,-
Pretax Income,1.31B,1.34B,1.36B,1.13B,1.36B
Pretax Income Growth,-,2.64%,0.95%,-16.33%,19.76%
Pretax Margin,-,-,-,-,29.31%
Income Tax,164.1M,163.63M,161.31M,112.92M,149.97M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.14B,1.18B,1.19B,1.02B,1.21B
Minority Interest Expense,-,-,-,-,-
Net Income,1.14B,1.18B,1.19B,1.02B,1.21B
Net Income Growth,-,3.07%,1.28%,-14.48%,18.32%
Net Margin Growth,-,-,-,-,26.08%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.14B,1.18B,1.19B,1.02B,1.21B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.14B,1.18B,1.19B,1.02B,1.21B
EPS (Basic),8.02,8.32,8.5,7.34,8.76
EPS (Basic) Growth,-,3.73%,2.08%,-13.62%,19.38%
Basic Shares Outstanding,142.66M,141.74M,140.63M,139.23M,137.99M
EPS (Diluted),7.98,8.27,8.44,7.3,8.74
EPS (Diluted) Growth,-,3.72%,2.05%,-13.58%,19.80%
Diluted Shares Outstanding,143.51M,142.61M,141.53M,140.06M,138.31M
EBITDA,1.39B,1.45B,1.41B,1.27B,1.57B
EBITDA Growth,-,4.27%,-2.49%,-10.00%,23.38%
EBITDA Margin,-,-,-,-,33.81%
