Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,876.1M,904.02M,894.87M,864.5M,914.74M
Sales Growth,-,3.19%,-1.01%,-3.39%,5.81%
Cost of Goods Sold (COGS) incl. D&A,393.11M,405.43M,398.29M,381.03M,385.85M
COGS Growth,-,3.14%,-1.76%,-4.33%,1.26%
COGS excluding D&A,347.43M,357.81M,348.69M,329.42M,385.85M
Depreciation & Amortization Expense,45.68M,47.62M,49.61M,51.61M,-
Depreciation,37.98M,39.91M,41.87M,43.88M,-
Amortization of Intangibles,7.7M,7.71M,7.74M,7.73M,14.28M
Gross Income,483M,498.58M,496.58M,483.47M,514.6M
Gross Income Growth,-,3.23%,-0.40%,-2.64%,6.44%
Gross Profit Margin,-,-,-,-,56.26%
SG&A Expense,241.36M,236.67M,247.87M,249.2M,259.21M
SGA Growth,-,-1.94%,4.73%,0.54%,4.01%
Research & Development,59.88M,59.95M,62.51M,66.8M,64.32M
Other SG&A,181.48M,176.72M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,(5.61M),4.4M,1.74M,-
EBIT after Unusual Expense,-,5.61M,(4.4M),(1.74M),-
Non Operating Income/Expense,4.17M,(1.99M),841K,1.88M,(9.21M)
Non-Operating Interest Income,59K,-,-,-,-
Equity in Affiliates (Pretax),(1.31M),(1.39M),(1.91M),(2.63M),(2.56M)
Interest Expense,5.35M,5.36M,5.95M,5.46M,5.54M
Interest Expense Growth,-,0.28%,10.97%,-8.17%,1.46%
Gross Interest Expense,5.35M,5.36M,5.95M,5.46M,5.54M
Interest Capitalized,-,-,-,-,-
Pretax Income,239.21M,258.79M,237.29M,226.32M,238.09M
Pretax Income Growth,-,8.18%,-8.31%,-4.62%,5.20%
Pretax Margin,-,-,-,-,26.03%
Income Tax,44.11M,55.18M,35.54M,47.31M,43.03M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,195.1M,203.61M,201.75M,179.01M,195.06M
Minority Interest Expense,-,-,-,-,-
Net Income,195.1M,203.61M,201.75M,179.01M,195.06M
Net Income Growth,-,4.36%,-0.91%,-11.27%,8.97%
Net Margin Growth,-,-,-,-,21.32%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,195.1M,203.61M,201.75M,179.01M,195.06M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,195.1M,203.61M,201.75M,179.01M,195.06M
EPS (Basic),1.34,1.4,1.38,1.22,1.33
EPS (Basic) Growth,-,4.31%,-1.12%,-11.43%,8.87%
Basic Shares Outstanding,145.6M,145.68M,145.99M,146.24M,146.36M
EPS (Diluted),1.33,1.39,1.37,1.22,1.33
EPS (Diluted) Growth,-,4.14%,-1.03%,-11.22%,9.19%
Diluted Shares Outstanding,146.54M,146.86M,147.04M,146.96M,147M
EBITDA,287.32M,309.53M,298.32M,285.87M,300.4M
EBITDA Growth,-,7.73%,-3.62%,-4.17%,5.08%
EBITDA Margin,-,-,-,-,32.84%
