Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Interest Income,2.7B,2.98B,2.98B,2.91B,3.28B
Interest Income Growth,-,10.14%,0.00%,-2.05%,12.59%
Interest and Fees on Loans,2.16B,2.44B,2.41B,2.29B,2.5B
Interest Income on Fed. Funds,-,-,-,-,-
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,541M,538M,561M,621M,777M
Total Internest Expense,120M,119M,113M,110M,230M
Total Internest Expense Growth,-,-0.83%,-5.04%,-2.65%,109.09%
Interest Expense on Bank Deposits,30M,29M,27M,27M,88M
Other Interest Expense,90M,90M,-,-,-
Interest Expense on Debt,90M,90M,86M,83M,142M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,-,-,-,-,-
Net Interest Income,2.58B,2.86B,2.86B,2.8B,3.05B
Net Interest Income Growth,-,10.65%,0.21%,-2.03%,8.81%
Loan Loss Provision,302M,(203M),(327M),(208M),36M
Loan Loss Provision Growth,-,-167.22%,-61.08%,36.39%,117.31%
Net Interest Income after Provision,2.28B,3.06B,3.19B,3.01B,3.02B
Net Interest Inc After Loan Loss Prov Growth,-,34.23%,4.25%,-5.55%,0.10%
Net Interest Margin,-,-,-,-,2.29%
Non-Interest Income,2.06B,2.39B,2.14B,1.48B,1.89B
Securities Gain,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,1.36B,1.63B,1.56B,822M,1.2B
Other Operating Income,459M,520M,331M,40M,16M
Non-Interest Expense,3.02B,3.64B,3.67B,2.98B,3.07B
Labor & Related Expense,1.64B,1.99B,2.04B,1.72B,1.78B
Equipment Expense,543M,603M,697M,589M,597M
Other Operating Expense,448M,577M,498M,481M,812M
Operating Income,1.32B,1.81B,1.66B,1.51B,1.84B
Operating Income Growth,-,37.87%,-8.27%,-9.20%,21.59%
Operating Income Margin,-,-,-,-,35.94%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,111M,243M,-,-,-
Pretax Income,1.32B,1.81B,1.66B,1.73B,1.84B
Pretax Income Growth,-,37.87%,-8.27%,3.91%,6.25%
Pretax Margin,-,-,-,-,35.94%
Income Taxes,212M,323M,357M,299M,340M
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,-
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(5M),(8M),(6M),(6M),(7M)
Consolidated Net Income,1.1B,1.48B,1.3B,1.42B,1.49B
Minority Interest Expense,12M,16M,13M,21M,15M
Net Income,1.09B,1.47B,1.29B,1.4B,1.47B
Net Income Growth,-,34.99%,-12.21%,8.94%,5.14%
Net Income Margin,-,-,-,-,29.04%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,49M,58M,73M,47M,72M
Net Income Available to Common,1.04B,1.41B,1.21B,1.36B,1.4B
EPS (Basic),2.43,3.31,2.86,3.23,3.39
EPS (Basic) Grwoth,-,36.09%,-13.37%,12.68%,4.97%
Basic Shares Outstanding,427M,426M,424M,420M,414M
EPS (Diluted),2.43,3.31,2.86,3.23,3.39
EPS (Diluted) Growth,-,36.09%,-13.37%,12.68%,4.97%
Diluted Shares Outstanding,427M,426M,424M,420M,414M
