Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,1.25B,1.06B,1.15B,1.27B,1.28B
Sales Growth,-,-15.40%,9.03%,10.43%,0.64%
Cost of Goods Sold (COGS) incl. D&A,-,213.64M,243.37M,305.31M,288.63M
COGS Growth,-,-,13.92%,25.45%,-5.46%
COGS excluding D&A,-,162.43M,168.32M,222.61M,216.95M
Depreciation & Amortization Expense,-,51.21M,75.05M,82.7M,71.68M
Depreciation,-,29.76M,53.11M,59.58M,49.63M
Amortization of Intangibles,-,21.45M,21.94M,23.11M,22.05M
Gross Income,995.92M,841.93M,907.46M,965.52M,990.37M
Gross Income Growth,-,-15.46%,7.78%,6.40%,2.57%
Gross Profit Margin,-,-,-,-,77.43%
SG&A Expense,-,629.69M,701.3M,606.44M,627.48M
SGA Growth,-,-,11.37%,-13.53%,3.47%
Research & Development,-,371.15M,413.86M,383.97M,389.96M
Other SG&A,-,258.54M,-,-,-
Other Operating Expense,26.45M,-,-,-,-
Unusual Expense,-,15.99M,20.53M,11.3M,6.02M
EBIT after Unusual Expense,-,(15.99M),(20.53M),(11.3M),(6.02M)
Non Operating Income/Expense,-,17.18M,13.48M,(20.89M),(17.97M)
Non-Operating Interest Income,-,657K,1.03M,858K,1.28M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,757K,1.06M,500K,400K
Interest Expense Growth,-,-,40.55%,-53.01%,-20.00%
Gross Interest Expense,-,757K,1.06M,500K,400K
Interest Capitalized,-,-,-,-,-
Pretax Income,236.35M,213.34M,199.08M,327.24M,339.79M
Pretax Income Growth,-,-9.74%,-6.68%,64.38%,3.83%
Pretax Margin,-,-,-,-,26.57%
Income Tax,16.71M,14.95M,(2.06M),13.9M,45.9M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,219.65M,198.39M,201.14M,313.34M,293.89M
Minority Interest Expense,(2.98M),(254K),(310K),(346K),(889K)
Net Income,-,198.65M,201.45M,313.69M,294.78M
Net Income Growth,-,-,1.41%,55.72%,-6.03%
Net Margin Growth,-,-,-,-,23.05%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,198.65M,201.45M,313.69M,294.78M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,198.65M,201.45M,313.69M,294.78M
EPS (Basic),1.46,1.3,1.32,2.05,1.93
EPS (Basic) Growth,-,-10.60%,1.21%,55.43%,-5.95%
Basic Shares Outstanding,152.94M,152.64M,152.93M,153.22M,153.09M
EPS (Diluted),-,1.27,1.28,1.99,1.89
EPS (Diluted) Growth,-,-,1.19%,55.69%,-5.36%
Diluted Shares Outstanding,155.81M,156.91M,157.24M,157.27M,156.17M
EBITDA,-,263.45M,281.21M,441.77M,434.57M
EBITDA Growth,-,-,6.74%,57.10%,-1.63%
EBITDA Margin,-,-,-,-,33.98%
