Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.5B,3.61B,3.67B,3.67B,3.6B
Sales Growth,-,3.29%,1.63%,-0.03%,-1.85%
Cost of Goods Sold (COGS) incl. D&A,2.23B,2.34B,2.45B,2.44B,2.41B
COGS Growth,-,4.85%,4.75%,-0.53%,-1.23%
COGS excluding D&A,1.86B,1.97B,2.07B,2.06B,2.03B
Depreciation & Amortization Expense,369M,371M,379M,373M,375M
Depreciation,336M,339M,347M,342M,345M
Amortization of Intangibles,33M,32M,32M,31M,30M
Gross Income,1.27B,1.28B,1.22B,1.24B,1.2B
Gross Income Growth,-,0.55%,-4.08%,0.98%,-3.08%
Gross Profit Margin,-,-,-,-,33.23%
SG&A Expense,707M,737M,756M,682M,726M
SGA Growth,-,4.24%,2.58%,-9.79%,6.45%
Research & Development,242M,251M,280M,248M,240M
Other SG&A,465M,486M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,6M,22M,(104M),(129M),(229M)
EBIT after Unusual Expense,(6M),(22M),104M,129M,229M
Non Operating Income/Expense,30M,17M,71M,147M,119M
Non-Operating Interest Income,2M,3M,3M,3M,3M
Equity in Affiliates (Pretax),7M,16M,4M,-,-
Interest Expense,78M,72M,73M,71M,72M
Interest Expense Growth,-,-7.69%,1.39%,-2.74%,1.41%
Gross Interest Expense,78M,72M,109M,71M,72M
Interest Capitalized,-,-,36M,-,-
Pretax Income,516M,480M,576M,761M,750M
Pretax Income Growth,-,-6.98%,20.00%,32.12%,-1.45%
Pretax Margin,-,-,-,-,20.82%
Income Tax,67M,109M,89M,180M,166M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,449M,371M,487M,581M,584M
Minority Interest Expense,-,-,-,-,21M
Net Income,449M,371M,487M,581M,563M
Net Income Growth,-,-17.37%,31.27%,19.30%,-3.10%
Net Margin Growth,-,-,-,-,15.63%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,449M,371M,487M,581M,563M
Preferred Dividends,803M,-,-,-,-
Net Income Available to Common,(354M),371M,487M,581M,563M
EPS (Basic),(0.42),0.44,0.57,0.69,0.67
EPS (Basic) Growth,-,203.81%,31.74%,20.15%,-3.09%
Basic Shares Outstanding,844M,852M,849M,843M,843M
EPS (Diluted),(0.42),0.43,0.56,0.68,0.66
EPS (Diluted) Growth,-,202.15%,31.58%,19.99%,-2.76%
Diluted Shares Outstanding,844M,866M,864M,859M,856M
EBITDA,930M,909M,846M,926M,846M
EBITDA Growth,-,-2.26%,-6.93%,9.46%,-8.64%
EBITDA Margin,-,-,-,-,23.49%
