Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,801.1M,867.2M,963.6M,954.8M,1.03B
Sales Growth,-,8.25%,11.12%,-0.91%,7.89%
Cost of Goods Sold (COGS) incl. D&A,190.4M,216M,235.1M,260.2M,256.8M
COGS Growth,-,13.45%,8.84%,10.68%,-1.31%
COGS excluding D&A,171.6M,193.1M,209.8M,234.7M,231.7M
Depreciation & Amortization Expense,18.8M,22.9M,25.3M,25.5M,25.1M
Depreciation,15.3M,18.1M,18.5M,19.1M,19.1M
Amortization of Intangibles,3.5M,4.8M,6.8M,6.4M,6M
Gross Income,610.7M,651.2M,728.5M,694.6M,773.3M
Gross Income Growth,-,6.63%,11.87%,-4.65%,11.33%
Gross Profit Margin,-,-,-,-,75.07%
SG&A Expense,464.4M,485.9M,514.8M,544.7M,579.2M
SGA Growth,-,4.63%,5.95%,5.81%,6.33%
Research & Development,106.6M,107.8M,112.6M,124.9M,124.3M
Other SG&A,357.8M,378.1M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,2M,(5.2M),(2.9M),(8M),(8.1M)
Non-Operating Interest Income,1.2M,1.2M,1M,1.3M,2.4M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,4.5M,4.6M,4.5M,4.5M,4.5M
Interest Expense Growth,-,2.22%,-2.17%,0.00%,0.00%
Gross Interest Expense,4.5M,4.6M,4.5M,4.5M,4.5M
Interest Capitalized,-,-,-,-,-
Pretax Income,145M,156.7M,207.3M,138.7M,183.9M
Pretax Income Growth,-,8.07%,32.29%,-33.09%,32.59%
Pretax Margin,-,-,-,-,17.85%
Income Tax,7.5M,(9.3M),3.7M,(8.1M),2.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,(2.8M),(4.8M),(8.5M),(8.1M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,137.5M,163.2M,198.8M,138.3M,173.4M
Minority Interest Expense,-,100K,(200K),(100K),(100K)
Net Income,137.5M,163.1M,199M,138.4M,173.5M
Net Income Growth,-,18.62%,22.01%,-30.45%,25.36%
Net Margin Growth,-,-,-,-,16.84%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,137.5M,163.1M,199M,138.4M,173.5M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,137.5M,163.1M,199M,138.4M,173.5M
EPS (Basic),0.17,0.2,0.24,0.17,0.22
EPS (Basic) Growth,-,18.47%,22.41%,-29.48%,26.66%
Basic Shares Outstanding,816.5M,817.5M,815M,803.5M,795.4M
EPS (Diluted),0.16,0.19,0.24,0.17,0.21
EPS (Diluted) Growth,-,18.17%,22.52%,-29.25%,27.05%
Diluted Shares Outstanding,835.5M,838.5M,835M,821M,810.1M
EBITDA,165.1M,188.2M,239M,175.4M,219.2M
EBITDA Growth,-,13.99%,26.99%,-26.61%,24.97%
EBITDA Margin,-,-,-,-,21.28%
