Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,685.95M,712.02M,714.8M,751.1M,796.1M
Sales Growth,-,3.80%,0.39%,5.08%,5.99%
Cost of Goods Sold (COGS) incl. D&A,379.88M,391.35M,400.6M,408.6M,439.2M
COGS Growth,-,3.02%,2.36%,2.00%,7.49%
COGS excluding D&A,355.45M,364.38M,370.56M,381.1M,409.8M
Depreciation & Amortization Expense,24.43M,26.97M,30.04M,27.5M,29.4M
Depreciation,10.93M,10.8M,14.32M,12.2M,12.5M
Amortization of Intangibles,13.5M,16.17M,15.72M,15.3M,16.9M
Gross Income,306.07M,320.67M,314.2M,342.5M,356.9M
Gross Income Growth,-,4.77%,-2.02%,9.01%,4.20%
Gross Profit Margin,-,-,-,-,44.83%
SG&A Expense,142.38M,146.48M,149.4M,153.4M,165.8M
SGA Growth,-,2.88%,1.99%,2.68%,8.08%
Research & Development,-,-,-,-,-
Other SG&A,142.38M,146.48M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,14.04M,13M,2.8M,1.5M,4.5M
EBIT after Unusual Expense,(14.04M),(13M),(2.8M),(1.5M),(4.5M)
Non Operating Income/Expense,(6.16M),(630K),(5.78M),2.3M,-
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,13.62M,9.5M,3.03M,9.5M,9.5M
Interest Expense Growth,-,-30.27%,-68.15%,214.05%,0.00%
Gross Interest Expense,13.62M,9.5M,3.03M,9.5M,9.5M
Interest Capitalized,-,-,-,-,-
Pretax Income,129.88M,151.06M,153.2M,180.4M,177.1M
Pretax Income Growth,-,16.31%,1.42%,17.75%,-1.83%
Pretax Margin,-,-,-,-,22.25%
Income Tax,27.7M,35.34M,34.5M,40.5M,39M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,102.18M,115.71M,118.7M,139.9M,138.1M
Minority Interest Expense,(16K),(28K),(100K),(100K),(100K)
Net Income,102.2M,115.74M,118.8M,140M,138.2M
Net Income Growth,-,13.26%,2.64%,17.85%,-1.29%
Net Margin Growth,-,-,-,-,17.36%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,102.2M,115.74M,118.8M,140M,138.2M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,102.2M,115.74M,118.8M,140M,138.2M
EPS (Basic),1.35,1.52,1.56,1.84,1.82
EPS (Basic) Growth,-,13.20%,2.52%,17.85%,-0.90%
Basic Shares Outstanding,75.97M,76.01M,76.1M,76.1M,75.8M
EPS (Diluted),1.34,1.51,1.55,1.83,1.82
EPS (Diluted) Growth,-,13.22%,2.58%,18.01%,-0.90%
Diluted Shares Outstanding,76.43M,76.45M,76.5M,76.4M,76.1M
EBITDA,188.12M,201.16M,194.84M,216.6M,220.5M
EBITDA Growth,-,6.93%,-3.14%,11.17%,1.80%
EBITDA Margin,-,-,-,-,27.70%
