Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,282.33M,294.52M,291.15M,295.01M,294.56M
Sales Growth,-,4.32%,-1.14%,1.32%,-0.15%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,7.36M,19.67M,6.92M,6.68M,6.5M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,170.37M,161.95M,175.56M,176.71M,180.04M
Total Interest Expense,37M,37.19M,36.71M,37.89M,37.34M
Depreciation & Amortization Expense,74.22M,75.46M,76.4M,77.84M,79.35M
Other Operating Expense,(223K),2.31M,6.36M,5.17M,6.12M
Operating Income,111.97M,132.57M,115.59M,118.3M,114.52M
Operating Income Growth,-,18.40%,-12.81%,2.34%,-3.19%
Non-Operating Income (Expense),22M,23.45M,76.01M,116.41M,28.81M
Non-Operating Interest Income,150K,155K,161K,143K,160K
Miscellaneous Non Operating Expense,21.41M,9.05M,55.11M,103.46M,4.8M
Equity in Affiliates (Pretax),435K,14.24M,20.74M,12.8M,23.84M
Unusual Expense,135K,(20K),84.27M,-,-
Pretax Income,96.83M,118.85M,70.62M,196.82M,105.99M
Pretax Income Growth,-,22.74%,-40.58%,178.71%,-46.15%
Pretax Margin,-,-,-,-,33.18%
Income Taxes,-,-,-,-,-
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,96.83M,118.85M,70.62M,196.82M,105.99M
Minority Interest Expense,1.34M,1.44M,1.12M,1.59M,1.19M
Net Income,95.49M,117.41M,69.49M,195.23M,104.8M
Net Income Growth,-,22.95%,-40.81%,180.93%,-46.32%
Net Margin Growth,-,-,-,-,35.58%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,95.49M,117.41M,69.49M,195.23M,104.8M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,95.49M,117.41M,69.49M,195.23M,104.8M
EPS (Basic),0.56,0.69,0.4,1.14,0.61
EPS (Basic) Growth,-,22.79%,-42.45%,186.84%,-46.56%
Basic Shares Outstanding,169.85M,170.09M,170.79M,171.31M,172.06M
EPS (Diluted),0.56,0.69,0.39,1.14,0.61
EPS (Diluted) Growth,-,22.65%,-42.63%,188.04%,-46.55%
Diluted Shares Outstanding,170.17M,170.59M,171.87M,171.67M,172.42M
