Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.68B,1.91B,2.02B,2.41B,2.77B
Sales Growth,-,13.62%,5.86%,19.09%,14.95%
Cost of Goods Sold (COGS) incl. D&A,682M,707M,668M,704M,751M
COGS Growth,-,3.67%,-5.52%,5.39%,6.68%
COGS excluding D&A,341M,366M,348M,391M,421M
Depreciation & Amortization Expense,341M,341M,320M,313M,330M
Depreciation,341M,341M,320M,313M,330M
Amortization of Intangibles,-,-,-,-,-
Gross Income,999M,1.2B,1.35B,1.7B,2.02B
Gross Income Growth,-,20.42%,12.55%,25.85%,18.37%
Gross Profit Margin,-,-,-,-,72.87%
SG&A Expense,36M,38M,47M,36M,39M
SGA Growth,-,5.56%,23.68%,-23.40%,8.33%
Research & Development,-,-,-,-,-
Other SG&A,36M,38M,-,-,-
Other Operating Expense,6M,1M,(5M),8M,-
Unusual Expense,499M,246M,(44M),606M,105M
EBIT after Unusual Expense,(499M),(246M),44M,(606M),(105M)
Non Operating Income/Expense,16M,2M,(6M),1M,1M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),5M,4M,9M,9M,28M
Interest Expense,57M,57M,29M,40M,39M
Interest Expense Growth,-,0.00%,-49.12%,37.93%,-2.50%
Gross Interest Expense,57M,57M,29M,40M,39M
Interest Capitalized,-,-,-,-,-
Pretax Income,422M,867M,1.33B,1.02B,1.86B
Pretax Income Growth,-,105.45%,53.40%,-23.01%,81.93%
Pretax Margin,-,-,-,-,67.30%
Income Tax,94M,193M,279M,221M,402M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,(13M)
Consolidated Net Income,328M,674M,1.05B,803M,1.45B
Minority Interest Expense,17M,25M,49M,24M,45M
Net Income,311M,649M,1B,779M,1.4B
Net Income Growth,-,108.68%,54.39%,-22.26%,80.10%
Net Margin Growth,-,-,-,-,50.69%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,311M,649M,1B,779M,1.4B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,311M,649M,1B,779M,1.4B
EPS (Basic),1.72,3.59,5.56,4.39,7.95
EPS (Basic) Growth,-,108.65%,55.15%,-21.13%,81.12%
Basic Shares Outstanding,181.01M,181.03M,180.14M,177.57M,176.57M
EPS (Diluted),1.71,3.56,5.54,4.36,7.93
EPS (Diluted) Growth,-,108.47%,55.37%,-21.19%,81.81%
Diluted Shares Outstanding,181.97M,182.15M,181M,178.56M,176.88M
EBITDA,1.3B,1.51B,1.63B,1.97B,2.31B
EBITDA Growth,-,15.95%,8.44%,20.89%,16.98%
EBITDA Margin,-,-,-,-,83.38%
