Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.71B,3.86B,4.28B,4.28B,5.07B
Sales Growth,-,4.13%,10.80%,0.16%,18.44%
Cost of Goods Sold (COGS) incl. D&A,3.22B,3.36B,3.67B,3.7B,4.29B
COGS Growth,-,4.16%,9.30%,0.85%,15.95%
COGS excluding D&A,3B,3.13B,3.44B,3.47B,4.05B
Depreciation & Amortization Expense,223M,224M,231M,232M,238M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,485M,504M,609M,585M,785M
Gross Income Growth,-,3.92%,20.83%,-3.94%,34.19%
Gross Profit Margin,-,-,-,-,15.47%
SG&A Expense,51M,46M,59M,52M,67M
SGA Growth,-,-9.80%,28.26%,-11.86%,28.85%
Research & Development,-,-,-,-,-
Other SG&A,51M,46M,-,-,-
Other Operating Expense,-,-,-,22M,344M
Unusual Expense,-,12M,-,42M,-
EBIT after Unusual Expense,-,(12M),-,(42M),-
Non Operating Income/Expense,(19M),(14M),(24M),(30M),(42M)
Non-Operating Interest Income,14M,15M,21M,19M,24M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,134M,131M,129M,126M,125M
Interest Expense Growth,-,-2.24%,-1.53%,-2.33%,-0.79%
Gross Interest Expense,134M,131M,129M,126M,125M
Interest Capitalized,-,-,-,-,-
Pretax Income,295M,316M,418M,332M,231M
Pretax Income Growth,-,7.12%,32.28%,-20.57%,-30.42%
Pretax Margin,-,-,-,-,4.55%
Income Tax,65M,76M,(409M),68M,114M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,230M,240M,827M,264M,117M
Minority Interest Expense,3M,4M,3M,1M,8M
Net Income,227M,236M,824M,263M,109M
Net Income Growth,-,3.96%,249.15%,-68.08%,-58.56%
Net Margin Growth,-,-,-,-,2.15%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,227M,236M,824M,263M,109M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,227M,236M,824M,263M,109M
EPS (Basic),0.26,0.26,0.92,0.29,0.12
EPS (Basic) Growth,-,3.49%,248.33%,-68.19%,-58.77%
Basic Shares Outstanding,890M,894M,896M,899M,904M
EPS (Diluted),0.26,0.26,0.92,0.29,0.12
EPS (Diluted) Growth,-,3.49%,248.33%,-68.33%,-58.83%
Diluted Shares Outstanding,890M,894M,896M,903M,909M
EBITDA,657M,682M,781M,743M,612M
EBITDA Growth,-,3.81%,14.52%,-4.87%,-17.63%
EBITDA Margin,-,-,-,-,12.06%
