Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,5.59B,6.19B,5.93B,6.37B,6.18B
Sales Growth,-,10.78%,-4.12%,7.30%,-2.92%
Cost of Goods Sold (COGS) incl. D&A,3.54B,3.57B,3.74B,3.62B,3.58B
COGS Growth,-,0.71%,4.82%,-3.08%,-1.35%
COGS excluding D&A,3.06B,3.04B,3.17B,3.14B,3.07B
Depreciation & Amortization Expense,483M,528M,568M,489M,507M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,2.05B,2.62B,2.2B,2.74B,2.61B
Gross Income Growth,-,28.22%,-16.29%,24.97%,-4.99%
Gross Profit Margin,-,-,-,-,42.16%
SG&A Expense,87M,102M,94M,115M,100M
SGA Growth,-,17.24%,-7.84%,22.34%,-13.04%
Research & Development,-,-,-,-,-
Other SG&A,87M,102M,-,-,-
Other Operating Expense,33M,13M,40M,16M,29M
Unusual Expense,(96M),110M,(219M),(183M),723M
EBIT after Unusual Expense,96M,(110M),219M,183M,(723M)
Non Operating Income/Expense,51M,101M,(136M),45M,1M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,144M,138M,171M,127M,156M
Interest Expense Growth,-,-4.17%,23.91%,-25.73%,22.83%
Gross Interest Expense,161M,157M,192M,153M,189M
Interest Capitalized,17M,19M,21M,26M,33M
Pretax Income,1.93B,2.36B,1.97B,2.71B,1.6B
Pretax Income Growth,-,22.41%,-16.40%,37.51%,-41.06%
Pretax Margin,-,-,-,-,25.87%
Income Tax,603M,628M,625M,824M,571M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,6M,(9M),10M,15M,10M
Other After Tax Income (Expense),(4M),(4M),(1M),(5M),(4M)
Consolidated Net Income,1.33B,1.72B,1.36B,1.9B,1.03B
Minority Interest Expense,248M,324M,252M,377M,198M
Net Income,1.08B,1.4B,1.11B,1.52B,836M
Net Income Growth,-,29.29%,-20.79%,37.74%,-45.07%
Net Margin Growth,-,-,-,-,13.53%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.08B,1.4B,1.11B,1.52B,836M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.08B,1.4B,1.11B,1.52B,836M
EPS (Basic),0.74,0.95,0.75,1.05,0.58
EPS (Basic) Growth,-,29.11%,-20.62%,38.76%,-44.76%
Basic Shares Outstanding,1.47B,1.47B,1.47B,1.46B,1.45B
EPS (Diluted),0.73,0.94,0.75,1.04,0.57
EPS (Diluted) Growth,-,29.19%,-20.61%,38.83%,-44.62%
Diluted Shares Outstanding,1.48B,1.48B,1.48B,1.47B,1.46B
EBITDA,2.41B,3.04B,2.63B,3.1B,2.98B
EBITDA Growth,-,26.04%,-13.38%,17.95%,-3.77%
EBITDA Margin,-,-,-,-,48.28%
