Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,2.61B,2.86B,3.45B,3.04B,3.1B
Sales Growth,-,9.86%,20.64%,-11.88%,1.71%
Cost of Goods Sold (COGS) incl. D&A,2.12B,2.43B,2.89B,2.52B,2.56B
COGS Growth,-,14.66%,18.93%,-12.84%,1.81%
COGS excluding D&A,2.07B,2.37B,2.82B,2.45B,2.48B
Depreciation & Amortization Expense,52.26M,59.18M,65.92M,64.28M,85.9M
Depreciation,42.01M,47.23M,53.14M,52.41M,81.1M
Amortization of Intangibles,10.25M,11.95M,12.78M,11.87M,4.8M
Gross Income,489.15M,435.73M,567.09M,527.35M,534.12M
Gross Income Growth,-,-10.92%,30.15%,-7.01%,1.28%
Gross Profit Margin,-,-,-,-,17.25%
SG&A Expense,199.97M,198.78M,230.44M,225.97M,224.66M
SGA Growth,-,-0.59%,15.93%,-1.94%,-0.58%
Research & Development,-,-,-,-,-
Other SG&A,199.97M,198.78M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,17.36M,54.14M,2.07M,(3.65M),(9.76M)
EBIT after Unusual Expense,(17.36M),(54.14M),(2.07M),3.65M,9.76M
Non Operating Income/Expense,4.51M,14.26M,13.06M,7.75M,9.6M
Non-Operating Interest Income,10.99M,8.46M,10.14M,3.87M,1.8M
Equity in Affiliates (Pretax),13.07M,10.42M,10.04M,6.9M,5.92M
Interest Expense,7.79M,11.7M,15.59M,14.64M,14.66M
Interest Expense Growth,-,50.27%,33.21%,-6.09%,0.12%
Gross Interest Expense,7.79M,11.7M,15.59M,14.64M,14.66M
Interest Capitalized,-,-,-,-,-
Pretax Income,292.62M,204.24M,352.23M,308.9M,321.87M
Pretax Income Growth,-,-30.20%,72.46%,-12.30%,4.20%
Pretax Margin,-,-,-,-,10.39%
Income Tax,64.7M,27.16M,70.48M,69.19M,60.19M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,227.92M,177.07M,281.75M,239.71M,261.68M
Minority Interest Expense,21K,157K,12K,139K,62K
Net Income,227.9M,176.92M,281.74M,239.57M,261.62M
Net Income Growth,-,-22.37%,59.25%,-14.97%,9.20%
Net Margin Growth,-,-,-,-,8.45%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,227.9M,176.92M,281.74M,239.57M,261.62M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,227.9M,176.92M,281.74M,239.57M,261.62M
EPS (Basic),0.42,0.33,0.52,0.44,0.48
EPS (Basic) Growth,-,-22.59%,59.00%,-14.98%,8.79%
Basic Shares Outstanding,540.2M,541.75M,542.5M,542.68M,544.7M
EPS (Diluted),0.42,0.32,0.51,0.44,0.48
EPS (Diluted) Growth,-,-22.44%,59.48%,-15.07%,8.78%
Diluted Shares Outstanding,547.54M,548.07M,547.29M,547.93M,550.04M
EBITDA,341.45M,296.13M,402.56M,365.66M,395.36M
EBITDA Growth,-,-13.27%,35.94%,-9.17%,8.12%
EBITDA Margin,-,-,-,-,12.77%
