Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.85B,3.82B,3.82B,4.01B,4.1B
Sales Growth,-,-0.70%,0.00%,4.95%,2.25%
Cost of Goods Sold (COGS) incl. D&A,2.6B,2.58B,2.59B,2.68B,2.78B
COGS Growth,-,-0.88%,0.39%,3.24%,3.93%
COGS excluding D&A,2.39B,2.37B,2.39B,2.48B,2.58B
Depreciation & Amortization Expense,210M,209M,198M,194M,205M
Depreciation,162M,160M,150M,145M,157M
Amortization of Intangibles,48M,49M,48M,49M,48M
Gross Income,1.24B,1.24B,1.23B,1.33B,1.32B
Gross Income Growth,-,-0.32%,-0.81%,8.56%,-1.13%
Gross Profit Margin,-,-,-,-,32.15%
SG&A Expense,523M,574M,567M,611M,585M
SGA Growth,-,9.75%,-1.22%,7.76%,-4.26%
Research & Development,168M,173M,175M,185M,179M
Other SG&A,355M,401M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,31M,29M,3M,21M,28M
EBIT after Unusual Expense,(31M),(29M),(3M),(21M),(28M)
Non Operating Income/Expense,29M,4M,30M,10M,19M
Non-Operating Interest Income,3M,3M,2M,4M,3M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,14M,14M,12M,18M,18M
Interest Expense Growth,-,0.00%,-14.29%,50.00%,0.00%
Gross Interest Expense,14M,14M,12M,18M,18M
Interest Capitalized,-,-,-,-,-
Pretax Income,705M,627M,677M,696M,708M
Pretax Income Growth,-,-11.06%,7.97%,2.81%,1.72%
Pretax Margin,-,-,-,-,17.28%
Income Tax,124M,(167M),110M,136M,116M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,581M,794M,567M,560M,592M
Minority Interest Expense,-,-,-,-,-
Net Income,581M,794M,567M,560M,592M
Net Income Growth,-,36.66%,-28.59%,-1.23%,5.71%
Net Margin Growth,-,-,-,-,14.45%
Extraordinaries & Discontinued Operations,(1M),-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(1M),-,(1M),-,2M
Net Income After Extraordinaries,580M,794M,566M,560M,594M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,580M,794M,566M,560M,594M
EPS (Basic),1.76,2.42,1.73,1.72,1.84
EPS (Basic) Growth,-,37.73%,-28.50%,-0.45%,7.06%
Basic Shares Outstanding,330M,328M,327M,325M,322M
EPS (Diluted),1.74,2.4,1.72,1.71,1.83
EPS (Diluted) Growth,-,37.73%,-28.50%,-0.16%,7.05%
Diluted Shares Outstanding,333M,331M,330M,327M,324M
EBITDA,928M,872M,858M,915M,937M
EBITDA Growth,-,-6.03%,-1.61%,6.64%,2.40%
EBITDA Margin,-,-,-,-,22.87%
