Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,11.64B,11.85B,11.91B,16.37B,10.65B
Sales Growth,-,1.82%,0.51%,37.41%,-34.94%
Cost of Goods Sold (COGS) incl. D&A,8.95B,9.06B,9.13B,13.07B,8.3B
COGS Growth,-,1.24%,0.76%,43.23%,-36.52%
COGS excluding D&A,8.73B,8.85B,8.91B,12.85B,8.08B
Depreciation & Amortization Expense,216M,214M,214M,225M,224M
Depreciation,196M,194M,194M,203M,202M
Amortization of Intangibles,20M,20M,20M,22M,22M
Gross Income,2.69B,2.79B,2.78B,3.29B,2.35B
Gross Income Growth,-,3.76%,-0.29%,18.30%,-28.65%
Gross Profit Margin,-,-,-,-,22.05%
SG&A Expense,1.97B,1.99B,2.11B,2.48B,1.87B
SGA Growth,-,1.07%,6.23%,17.23%,-24.59%
Research & Development,-,-,-,-,-
Other SG&A,1.97B,1.99B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(48M),4M,(1M),11M,18M
EBIT after Unusual Expense,48M,(4M),1M,(11M),(18M)
Non Operating Income/Expense,-,-,-,-,(5M)
Non-Operating Interest Income,3M,3M,1M,3M,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,6M,6M,7M,6M,6M
Interest Expense Growth,-,0.00%,16.67%,-14.29%,0.00%
Gross Interest Expense,6M,6M,7M,6M,6M
Interest Capitalized,-,-,-,-,-
Pretax Income,766M,794M,664M,800M,451M
Pretax Income Growth,-,3.66%,-16.37%,20.48%,-43.63%
Pretax Margin,-,-,-,-,4.24%
Income Tax,172M,64M,166M,172M,110M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,1M,4M,1M,(2M),-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,595M,734M,499M,626M,341M
Minority Interest Expense,-,-,-,-,-
Net Income,595M,734M,499M,626M,341M
Net Income Growth,-,23.36%,-32.02%,25.45%,-45.53%
Net Margin Growth,-,-,-,-,3.20%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,595M,734M,499M,626M,341M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,595M,734M,499M,626M,341M
EPS (Basic),2.35,2.93,2.03,2.65,1.5
EPS (Basic) Growth,-,24.79%,-30.97%,30.64%,-43.17%
Basic Shares Outstanding,253.1M,250.2M,246.4M,236.6M,226.8M
EPS (Diluted),2.32,2.9,2,2.62,1.49
EPS (Diluted) Growth,-,25.26%,-31.01%,30.75%,-43.00%
Diluted Shares Outstanding,256.7M,252.8M,249.1M,239M,228.4M
EBITDA,937M,1.02B,883M,1.04B,704M
EBITDA Growth,-,8.32%,-13.00%,17.67%,-32.24%
EBITDA Margin,-,-,-,-,6.61%
