Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.14B,4.03B,4.09B,4.01B,3.71B
Sales Growth,-,-2.75%,1.54%,-1.98%,-7.51%
Cost of Goods Sold (COGS) incl. D&A,3.68B,3.54B,3.6B,3.58B,3.32B
COGS Growth,-,-3.83%,1.89%,-0.53%,-7.39%
COGS excluding D&A,3.25B,3.08B,3.17B,3.15B,2.92B
Depreciation & Amortization Expense,427M,452M,430M,433M,398M
Depreciation,163M,169M,162M,156M,147M
Amortization of Intangibles,264M,283M,268M,277M,251M
Gross Income,464M,491M,486M,424M,388M
Gross Income Growth,-,5.82%,-1.02%,-12.76%,-8.49%
Gross Profit Margin,-,-,-,-,10.47%
SG&A Expense,374M,367M,329M,312M,347M
SGA Growth,-,-1.87%,-10.35%,-5.17%,11.22%
Research & Development,-,-,-,-,-
Other SG&A,374M,367M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,69M,416M,58M,60M,(3M)
EBIT after Unusual Expense,(69M),(416M),(58M),(60M),3M
Non Operating Income/Expense,445M,89M,90M,776M,95M
Non-Operating Interest Income,20M,16M,15M,14M,20M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,62M,61M,38M,43M,37M
Interest Expense Growth,-,-1.61%,-37.70%,13.16%,-13.95%
Gross Interest Expense,62M,61M,38M,43M,37M
Interest Capitalized,-,-,-,-,-
Pretax Income,424M,(248M),166M,799M,122M
Pretax Income Growth,-,-158.49%,166.94%,381.33%,-84.73%
Pretax Margin,-,-,-,-,3.29%
Income Tax,142M,(61M),64M,260M,19M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,282M,(187M),102M,539M,103M
Minority Interest Expense,4M,1M,4M,9M,1M
Net Income,278M,(188M),98M,530M,102M
Net Income Growth,-,-167.63%,152.13%,440.82%,-80.75%
Net Margin Growth,-,-,-,-,2.75%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,278M,(188M),98M,530M,102M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,278M,(188M),98M,530M,102M
EPS (Basic),1.09,(0.74),0.39,2.18,0.44
EPS (Basic) Growth,-,-168.23%,152.58%,457.76%,-79.91%
Basic Shares Outstanding,254.67M,252.4M,250.27M,242.65M,232.48M
EPS (Diluted),1.07,(0.74),0.38,2.14,0.43
EPS (Diluted) Growth,-,-169.74%,151.64%,456.37%,-79.92%
Diluted Shares Outstanding,260.32M,252.4M,254.82M,247.69M,237.38M
EBITDA,517M,576M,587M,545M,439M
EBITDA Growth,-,11.41%,1.91%,-7.16%,-19.45%
EBITDA Margin,-,-,-,-,11.84%
