Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Interest Income,3.38B,3.41B,3.36B,3.42B,3.83B
Interest Income Growth,-,0.80%,-1.58%,1.88%,11.91%
Interest and Fees on Loans,2.68B,2.71B,2.64B,2.6B,2.87B
Interest Income on Fed. Funds,-,-,-,-,-
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,705M,698M,720M,819M,956M
Total Internest Expense,245M,238M,232M,245M,390M
Total Internest Expense Growth,-,-2.86%,-2.52%,5.60%,59.18%
Interest Expense on Bank Deposits,82M,78M,75M,80M,177M
Other Interest Expense,163M,160M,-,-,-
Interest Expense on Debt,163M,160M,157M,164M,210M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,-,-,-,-,-
Net Interest Income,3.14B,3.17B,3.12B,3.17B,3.44B
Net Interest Income Growth,-,1.08%,-1.51%,1.60%,8.26%
Loan Loss Provision,(170M),(163M),(13M),112M,311M
Loan Loss Provision Growth,-,4.12%,92.02%,961.54%,177.68%
Net Interest Income after Provision,3.31B,3.33B,3.14B,3.06B,3.12B
Net Interest Inc After Loan Loss Prov Growth,-,0.82%,-5.94%,-2.39%,2.06%
Net Interest Margin,-,-,-,-,2.49%
Non-Interest Income,2.13B,2.5B,2.53B,2.33B,2.62B
Securities Gain,43M,20M,15M,18M,19M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,1.17B,1.62B,1.72B,1.73B,1.79B
Other Operating Income,206M,156M,164M,162M,137M
Non-Interest Expense,2.9B,3.24B,3.53B,3.7B,3.69B
Labor & Related Expense,2.14B,2.18B,2.22B,2.25B,2.25B
Equipment Expense,174M,174M,183M,184M,180M
Other Operating Expense,994M,987M,1.04B,984M,1.02B
Operating Income,2.54B,2.6B,2.14B,1.69B,2.05B
Operating Income Growth,-,2.32%,-17.74%,-20.78%,21.32%
Operating Income Margin,-,-,-,-,44.84%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,197M
Pretax Income,2.54B,2.6B,2.14B,1.96B,1.95B
Pretax Income Growth,-,2.32%,-17.74%,-8.52%,-0.36%
Pretax Margin,-,-,-,-,44.84%
Income Taxes,551M,564M,459M,397M,414M
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,-
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(10M),(10M),(8M),(7M),(8M)
Consolidated Net Income,1.98B,2.02B,1.67B,1.55B,1.53B
Minority Interest Expense,6M,6M,5M,1M,3M
Net Income,1.97B,2.02B,1.67B,1.55B,1.52B
Net Income Growth,-,2.33%,-17.49%,-6.91%,-1.74%
Net Income Margin,-,-,-,-,34.96%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,58M,84M,83M,84M,59M
Net Income Available to Common,1.91B,1.93B,1.58B,1.47B,1.46B
EPS (Basic),1.29,1.3,1.07,0.99,0.99
EPS (Basic) Grwoth,-,1.45%,-18.20%,-7.46%,-0.20%
Basic Shares Outstanding,1.49B,1.48B,1.48B,1.49B,1.49B
EPS (Diluted),1.28,1.3,1.07,0.99,0.98
EPS (Diluted) Growth,-,1.45%,-18.20%,-7.46%,-0.20%
Diluted Shares Outstanding,1.49B,1.48B,1.48B,1.49B,1.49B
