Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,27.2B,30.46B,32.54B,36.6B,48.71B
Sales Growth,-,11.99%,6.85%,12.47%,33.10%
Cost of Goods Sold (COGS) incl. D&A,26.55B,29.13B,31.22B,34.95B,44.19B
COGS Growth,-,9.71%,7.16%,11.97%,26.43%
COGS excluding D&A,26.18B,28.76B,30.69B,34.61B,43.82B
Depreciation & Amortization Expense,370M,367M,530M,344M,365M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,645M,1.33B,1.33B,1.65B,4.52B
Gross Income Growth,-,106.05%,-0.15%,24.19%,174.51%
Gross Profit Margin,-,-,-,-,9.29%
SG&A Expense,433M,424M,479M,433M,488M
SGA Growth,-,-2.08%,12.97%,-9.60%,12.70%
Research & Development,-,-,-,-,-
Other SG&A,433M,424M,-,-,-
Other Operating Expense,119M,85M,67M,149M,118M
Unusual Expense,388M,1.44B,(139M),792M,574M
EBIT after Unusual Expense,(388M),(1.44B),139M,(792M),(574M)
Non Operating Income/Expense,44M,232M,30M,4M,(22M)
Non-Operating Interest Income,-,-,11M,-,-
Equity in Affiliates (Pretax),830M,982M,807M,685M,917M
Interest Expense,143M,151M,141M,135M,133M
Interest Expense Growth,-,5.59%,-6.62%,-4.26%,-1.48%
Gross Interest Expense,143M,151M,151M,135M,133M
Interest Capitalized,-,-,10M,-,-
Pretax Income,436M,448M,1.63B,828M,4.11B
Pretax Income Growth,-,2.75%,263.17%,-49.11%,395.89%
Pretax Margin,-,-,-,-,8.43%
Income Tax,62M,(40M),256M,171M,924M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(3M),(2M),(2M),(2M),(3M)
Consolidated Net Income,371M,486M,1.37B,655M,3.18B
Minority Interest Expense,80M,86M,98M,75M,15M
Net Income,291M,400M,1.27B,580M,3.16B
Net Income Growth,-,37.46%,217.75%,-54.37%,445.52%
Net Margin Growth,-,-,-,-,6.50%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,291M,400M,1.27B,580M,3.16B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,291M,400M,1.27B,580M,3.16B
EPS (Basic),0.66,0.91,2.89,1.29,6.55
EPS (Basic) Growth,-,37.39%,217.55%,-55.26%,407.36%
Basic Shares Outstanding,439.94M,440.19M,440.47M,449.3M,483.09M
EPS (Diluted),0.66,0.91,2.88,1.29,6.53
EPS (Diluted) Growth,-,37.45%,216.89%,-55.22%,406.59%
Diluted Shares Outstanding,440.4M,440.37M,441.58M,450.01M,485.04M
EBITDA,463M,1.19B,1.31B,1.41B,4.28B
EBITDA Growth,-,156.37%,10.45%,7.55%,203.76%
EBITDA Margin,-,-,-,-,8.79%
