Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,5.59B,5.69B,5.82B,5.39B,5.37B
Sales Growth,-,1.74%,2.29%,-7.27%,-0.37%
Premiums Earned,4.46B,4.57B,4.63B,4.65B,4.81B
Total Investment Income,581M,638M,607M,509M,541M
Realized Gains (Losses),137M,72M,203M,(143M),(333M)
Other Operating Income,411M,411M,375M,376M,355M
"Losses, Claims & Reserves",3.99B,4.62B,4.41B,4.33B,4.3B
"Losses, Claims & Reserves Growth",-,15.85%,-4.63%,-1.84%,-0.62%
"Losses, Benefits & Adjustments",2.79B,3.42B,3.17B,3.12B,3.08B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",434M,437M,446M,458M,470M
SGA Growth,-,0.69%,2.06%,2.69%,2.62%
"Selling, General & Admin. Expenses",434M,437M,446M,458M,470M
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,-,-,-,-,-
Operating Income Before Interest Expense,1.17B,629M,964M,610M,605M
Operating Income Growth,-,-46.10%,53.26%,-36.72%,-0.82%
"Interest Expense, Net of Interest Capitalized",57M,58M,62M,62M,51M
Interest Expense (excl. Interest Capitalized),57M,58M,62M,62M,51M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,1.17B,629M,964M,610M,605M
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,(12M),2M,5M,2M
Pretax Income,1.11B,583M,900M,543M,552M
Pretax Income Growth,-,-47.48%,54.37%,-39.67%,1.66%
Income Tax,205M,101M,171M,98M,110M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,905M,482M,729M,445M,442M
Minority Interest Expense,-,-,-,-,-
Net Income,905M,482M,729M,445M,442M
Net Income Growth,-,-46.74%,51.24%,-38.96%,-0.67%
Net Margin Growth,-,-,-,-,8.23%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,905M,482M,729M,445M,442M
Preferred Dividends,5M,6M,5M,5M,5M
Net Income Available to Common,900M,476M,724M,440M,437M
EPS (Basic),2.54,1.38,2.14,1.32,1.33
EPS (Basic) Growth,-,-45.87%,55.16%,-38.04%,0.81%
Basic Shares Outstanding,353.7M,345.6M,338.8M,332.3M,327.4M
EPS (Diluted),2.51,1.36,2.1,1.3,1.32
EPS (Diluted) Growth,-,-45.94%,54.70%,-37.88%,0.97%
Diluted Shares Outstanding,358.5M,350.7M,344.8M,337.3M,331.8M
