Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Interest Income,2.21B,2.35B,2.41B,2.65B,3.61B
Interest Income Growth,-,6.28%,2.55%,9.91%,36.30%
Interest and Fees on Loans,1.04B,1.06B,1.12B,1.16B,1.4B
Interest Income on Fed. Funds,(321M),(282M),(299M),(204M),123M
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,1.49B,1.57B,1.59B,1.7B,2.09B
Total Internest Expense,347M,288M,322M,434M,1.33B
Total Internest Expense Growth,-,-17.00%,11.81%,34.78%,206.45%
Interest Expense on Bank Deposits,108M,102M,79M,73M,135M
Other Interest Expense,123M,55M,-,-,-
Interest Expense on Debt,719M,597M,695M,685M,934M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,(596M),(542M),(585M),(466M),(24M)
Net Interest Income,1.87B,2.06B,2.09B,2.22B,2.28B
Net Interest Income Growth,-,10.62%,1.26%,6.08%,2.98%
Loan Loss Provision,73M,24M,5M,57M,101M
Loan Loss Provision Growth,-,-67.12%,-79.17%,"1,040.00%",77.19%
Net Interest Income after Provision,1.79B,2.04B,2.08B,2.16B,2.18B
Net Interest Inc After Loan Loss Prov Growth,-,13.78%,2.21%,3.60%,1.02%
Net Interest Margin,-,-,-,-,0.90%
Non-Interest Income,12.89B,12.7B,12.42B,12.58B,10.84B
Securities Gain,437M,60M,631M,119M,41M
Trading Account Income,3.02B,2.61B,2.23B,3.34B,3.12B
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,3.87B,4.29B,3.89B,3.17B,2.37B
Other Operating Income,320M,304M,126M,232M,89M
Non-Interest Expense,10.16B,9.88B,9.75B,10.16B,9.72B
Labor & Related Expense,6.42B,5.92B,5.49B,6.27B,5.55B
Equipment Expense,414M,427M,479M,427M,430M
Other Operating Expense,2.01B,2.21B,2.18B,2.26B,2.58B
Operating Income,4.52B,4.86B,4.75B,4.58B,3.3B
Operating Income Growth,-,7.57%,-2.18%,-3.60%,-27.93%
Operating Income Margin,-,-,-,-,33.10%
Non-Operating Income (Expense),51M,24M,28M,6M,16M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,(25M),-,(1M)
Equity in Affiliates (Pretax),51M,24M,53M,6M,17M
Unusual Expense,-,-,-,-,-
Pretax Income,4.57B,4.87B,4.88B,4.59B,3.32B
Pretax Income Growth,-,6.75%,0.21%,-6.06%,-27.66%
Pretax Margin,-,-,-,-,32.06%
Income Taxes,1.05B,1.15B,1.17B,873M,783M
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,-
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.51B,3.72B,3.72B,3.72B,2.54B
Minority Interest Expense,1M,17M,20M,49M,41M
Net Income,3.51B,3.71B,3.7B,3.67B,2.5B
Net Income Growth,-,5.58%,-0.30%,-0.81%,-31.94%
Net Income Margin,-,-,-,-,24.50%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,103M,123M,104M,124M,104M
Net Income Available to Common,3.41B,3.58B,3.59B,3.54B,2.39B
EPS (Basic),1.88,2.01,2.05,2.04,1.4
EPS (Basic) Grwoth,-,7.12%,1.94%,-0.37%,-31.34%
Basic Shares Outstanding,1.81B,1.78B,1.75B,1.73B,1.7B
EPS (Diluted),1.85,1.98,2.01,2.02,1.39
EPS (Diluted) Growth,-,6.84%,1.74%,0.29%,-31.24%
Diluted Shares Outstanding,1.84B,1.81B,1.79B,1.76B,1.72B
