Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.66B,1.68B,1.71B,1.74B,1.82B
Sales Growth,-,1.09%,1.99%,1.58%,4.67%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,1.66B,1.68B,1.71B,1.74B,1.82B
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,1.35B,1.33B,1.43B,1.45B,1.35B
Total Interest Expense,96.79M,89.74M,91.58M,91.44M,103.07M
Depreciation & Amortization Expense,417.76M,419.68M,428.76M,436.39M,432.83M
Other Operating Expense,75.45M,20.48M,84.62M,80.43M,(42.3M)
Operating Income,303.77M,346.65M,276.77M,284.45M,469.81M
Operating Income Growth,-,14.12%,-20.16%,2.78%,65.16%
Non-Operating Income (Expense),(47.57M),(46.63M),(10.96M),(8.87M),(136.37M)
Non-Operating Interest Income,374K,411K,1.13M,2.11M,4.51M
Miscellaneous Non Operating Expense,(47.95M),(47.05M),(12.09M),(10.97M),(140.88M)
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,109.45M,5.02M,9.19M,3.71M,5.48M
Pretax Income,49.96M,205.25M,165.04M,180.44M,224.88M
Pretax Income Growth,-,310.83%,-19.59%,9.33%,24.63%
Pretax Margin,-,-,-,-,9.17%
Income Taxes,(18.53M),53.22M,41.9M,32.74M,8.64M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,68.49M,152.03M,123.14M,147.69M,216.24M
Minority Interest Expense,148K,(190K),(133K),240K,(80K)
Net Income,68.34M,152.22M,123.27M,147.45M,216.32M
Net Income Growth,-,122.74%,-19.01%,19.61%,46.71%
Net Margin Growth,-,-,-,-,11.90%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,68.34M,152.22M,123.27M,147.45M,216.32M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,68.34M,152.22M,123.27M,147.45M,216.32M
EPS (Basic),0.76,1.69,1.37,1.62,2.38
EPS (Basic) Growth,-,122.22%,-19.36%,18.91%,46.28%
Basic Shares Outstanding,89.65M,89.86M,90.24M,90.77M,91.04M
EPS (Diluted),0.76,1.68,1.36,1.62,2.37
EPS (Diluted) Growth,-,121.86%,-19.27%,19.07%,46.54%
Diluted Shares Outstanding,90.1M,90.47M,90.75M,91.16M,91.26M
