Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.57B,3.44B,3.86B,3.41B,3.57B
Sales Growth,-,-3.82%,12.25%,-11.56%,4.60%
Cost of Goods Sold (COGS) incl. D&A,2.95B,2.8B,3.12B,2.85B,2.91B
COGS Growth,-,-5.16%,11.62%,-8.85%,2.37%
COGS excluding D&A,2.9B,2.75B,3.07B,2.79B,2.86B
Depreciation & Amortization Expense,53.5M,51.1M,54.2M,55.2M,55.7M
Depreciation,32.3M,32.4M,34M,35.8M,34.9M
Amortization of Intangibles,21.2M,18.7M,20.2M,19.4M,20.8M
Gross Income,621.1M,636.6M,732.4M,563.1M,652.5M
Gross Income Growth,-,2.50%,15.05%,-23.12%,15.88%
Gross Profit Margin,-,-,-,-,18.29%
SG&A Expense,103.2M,95M,109.9M,96.7M,110.9M
SGA Growth,-,-7.95%,15.68%,-12.01%,14.68%
Research & Development,-,-,-,-,-
Other SG&A,103.2M,95M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,65.8M,-
EBIT after Unusual Expense,-,-,-,(65.8M),-
Non Operating Income/Expense,50.5M,-,-,(47.6M),-
Non-Operating Interest Income,6.8M,7M,7.2M,8.2M,11.1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,80.3M,50.7M,51.6M,51M,51.2M
Interest Expense Growth,-,-36.86%,1.78%,-1.16%,0.39%
Gross Interest Expense,80.3M,50.7M,51.6M,51M,51.2M
Interest Capitalized,-,-,-,-,-
Pretax Income,494.9M,497.9M,578.1M,310.2M,501.5M
Pretax Income Growth,-,0.61%,16.11%,-46.34%,61.67%
Pretax Margin,-,-,-,-,14.06%
Income Tax,123.2M,120M,133.6M,115.5M,133.1M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(100K),2.2M,5.4M,(100K),1.6M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,371.6M,380.1M,449.9M,194.6M,370M
Minority Interest Expense,23.4M,24.5M,33.7M,20.8M,21.6M
Net Income,348.2M,355.6M,416.2M,173.8M,348.4M
Net Income Growth,-,2.13%,17.04%,-58.24%,100.46%
Net Margin Growth,-,-,-,-,9.77%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,348.2M,355.6M,416.2M,173.8M,348.4M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,348.2M,355.6M,416.2M,173.8M,348.4M
EPS (Basic),1.62,1.66,1.96,0.83,1.7
EPS (Basic) Growth,-,2.80%,18.04%,-57.46%,103.38%
Basic Shares Outstanding,215.4M,214M,212.2M,208.3M,205.3M
EPS (Diluted),1.6,1.65,1.95,0.83,1.68
EPS (Diluted) Growth,-,2.93%,18.19%,-57.54%,103.27%
Diluted Shares Outstanding,217.1M,215.4M,213.3M,209.8M,206.9M
EBITDA,571.4M,592.7M,676.7M,521.6M,597.3M
EBITDA Growth,-,3.73%,14.17%,-22.92%,14.51%
EBITDA Margin,-,-,-,-,16.74%
