Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,1.03B,1.08B,1.11B,1.28B,1.14B
Sales Growth,-,5.22%,2.36%,15.11%,-10.32%
Cost of Goods Sold (COGS) incl. D&A,315.8M,312.5M,331.6M,352.2M,360M
COGS Growth,-,-1.04%,6.11%,6.21%,2.21%
COGS excluding D&A,268.4M,266.8M,283M,303.8M,310.9M
Depreciation & Amortization Expense,47.4M,45.7M,48.6M,48.4M,49.1M
Depreciation,31.3M,30.7M,32.5M,34.9M,35.6M
Amortization of Intangibles,16.1M,15M,16.1M,13.5M,13.5M
Gross Income,713.4M,770.4M,776.9M,923.8M,784.3M
Gross Income Growth,-,7.99%,0.84%,18.91%,-15.10%
Gross Profit Margin,-,-,-,-,68.54%
SG&A Expense,359.6M,327.5M,336.6M,361M,390.3M
SGA Growth,-,-8.93%,2.78%,7.25%,8.12%
Research & Development,-,-,-,-,-
Other SG&A,359.6M,327.5M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,200K,10M,6.2M,-,2.3M
Non-Operating Interest Income,900K,200K,400K,500K,1.6M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,9M,9.2M,9.3M,9M,9.1M
Interest Expense Growth,-,2.22%,1.09%,-3.23%,1.11%
Gross Interest Expense,9M,9.2M,9.3M,9M,9.1M
Interest Capitalized,-,-,-,-,-
Pretax Income,345.9M,443.9M,437.6M,554.3M,388.8M
Pretax Income Growth,-,28.33%,-1.42%,26.67%,-29.86%
Pretax Margin,-,-,-,-,33.98%
Income Tax,82.9M,110.3M,105.5M,123.6M,92.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,263M,333.6M,332.1M,430.7M,296.4M
Minority Interest Expense,-,-,-,-,-
Net Income,263M,333.6M,332.1M,430.7M,296.4M
Net Income Growth,-,26.84%,-0.45%,29.69%,-31.18%
Net Margin Growth,-,-,-,-,25.90%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,263M,333.6M,332.1M,430.7M,296.4M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,263M,333.6M,332.1M,430.7M,296.4M
EPS (Basic),0.73,0.93,0.92,1.19,0.82
EPS (Basic) Growth,-,26.87%,-0.62%,29.62%,-31.16%
Basic Shares Outstanding,360.2M,360.1M,360.7M,360.9M,360.8M
EPS (Diluted),0.73,0.92,0.91,1.19,0.82
EPS (Diluted) Growth,-,26.81%,-0.53%,29.59%,-31.17%
Diluted Shares Outstanding,362.7M,362.8M,363.1M,363.4M,363.3M
EBITDA,401.2M,488.6M,488.9M,611.2M,443.1M
EBITDA Growth,-,21.78%,0.06%,25.02%,-27.50%
EBITDA Margin,-,-,-,-,38.72%
