Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.56B,3.6B,3.37B,3.82B,3.82B
Sales Growth,-,1.03%,-6.19%,13.27%,-0.14%
Cost of Goods Sold (COGS) incl. D&A,2.81B,2.81B,2.63B,3.01B,3.05B
COGS Growth,-,-0.14%,-6.21%,14.48%,1.40%
COGS excluding D&A,2.73B,2.73B,2.56B,2.94B,2.98B
Depreciation & Amortization Expense,75.96M,73.01M,73.14M,74.81M,76.85M
Depreciation,26.41M,26.54M,26.24M,26.38M,25.3M
Amortization of Intangibles,49.56M,46.47M,46.91M,48.43M,51.55M
Gross Income,750.78M,791.4M,742.77M,809.48M,762.12M
Gross Income Growth,-,5.41%,-6.14%,8.98%,-5.85%
Gross Profit Margin,-,-,-,-,19.97%
SG&A Expense,489.87M,522.7M,488.67M,538.49M,497.01M
SGA Growth,-,6.70%,-6.51%,10.20%,-7.70%
Research & Development,-,-,-,-,-
Other SG&A,489.87M,-,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(18.23M),89.64M,83.57M,117.27M,10.15M
EBIT after Unusual Expense,18.23M,(89.64M),(83.57M),(117.27M),(10.15M)
Non Operating Income/Expense,6.66M,20.58M,9.68M,10.68M,31.44M
Non-Operating Interest Income,1M,770K,1.5M,381K,1.04M
Equity in Affiliates (Pretax),16.6M,(10.1M),6.8M,12.5M,10.8M
Interest Expense,20.01M,19.93M,19.43M,22M,26.13M
Interest Expense Growth,-,-0.42%,-2.51%,13.22%,18.80%
Gross Interest Expense,20.01M,19.93M,19.43M,22M,26.13M
Interest Capitalized,-,-,-,-,-
Pretax Income,283.39M,170.38M,169.09M,155.28M,272.12M
Pretax Income Growth,-,-39.88%,-0.76%,-8.17%,75.24%
Pretax Margin,-,-,-,-,7.13%
Income Tax,109.19M,99.34M,15.89M,46.17M,59.49M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,174.21M,71.04M,153.2M,109.12M,212.62M
Minority Interest Expense,66.11M,26.21M,18.94M,20.3M,16.3M
Net Income,108.1M,44.83M,134.27M,88.82M,196.33M
Net Income Growth,-,-58.53%,199.53%,-33.85%,121.05%
Net Margin Growth,-,-,-,-,5.14%
Extraordinaries & Discontinued Operations,384K,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,384K,(1.68M),(232K),(1K),(343K)
Net Income After Extraordinaries,108.49M,43.14M,134.03M,88.82M,195.98M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,108.49M,43.14M,134.03M,88.82M,195.98M
EPS (Basic),0.83,0.33,1.04,0.69,1.53
EPS (Basic) Growth,-,-60.16%,212.61%,-33.74%,122.57%
Basic Shares Outstanding,130.39M,130.16M,129.34M,129.33M,128.23M
EPS (Diluted),0.83,0.33,1.03,0.68,1.52
EPS (Diluted) Growth,-,-60.22%,213.25%,-33.58%,122.45%
Diluted Shares Outstanding,131.42M,131.36M,130.29M,129.97M,128.93M
EBITDA,336.87M,341.71M,327.24M,345.8M,341.96M
EBITDA Growth,-,1.43%,-4.23%,5.67%,-1.11%
EBITDA Margin,-,-,-,-,8.96%
