Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.84B,5.23B,4.58B,4.67B,5.09B
Sales Growth,-,8.05%,-12.39%,1.83%,8.93%
Premiums Earned,1.4B,1.39B,1.42B,1.48B,1.5B
Total Investment Income,1.58B,1.58B,1.45B,1.41B,1.37B
Realized Gains (Losses),13M,41M,71M,(25M),(144M)
Other Operating Income,1.85B,2.22B,1.65B,1.8B,2.36B
"Losses, Claims & Reserves",2.67B,2.87B,2.94B,3.26B,3.6B
"Losses, Claims & Reserves Growth",-,7.69%,2.44%,10.88%,10.24%
"Losses, Benefits & Adjustments",1.93B,2.12B,2.25B,2.57B,2.89B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",1.35B,1.93B,1.36B,1.27B,1.17B
SGA Growth,-,43.13%,-29.51%,-6.77%,-7.58%
"Selling, General & Admin. Expenses",-,-,-,-,-
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,1.35B,1.93B,1.36B,1.27B,1.17B
Operating Income Before Interest Expense,828M,432M,283M,139M,318M
Operating Income Growth,-,-47.83%,-34.49%,-50.88%,128.78%
"Interest Expense, Net of Interest Capitalized",65M,73M,66M,66M,68M
Interest Expense (excl. Interest Capitalized),65M,73M,66M,66M,68M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,828M,432M,283M,139M,318M
Non-Operating Income (Expense),9M,9M,19M,19M,19M
Miscellaneous Non Operating Expense,9M,9M,19M,19M,19M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,772M,368M,236M,92M,269M
Pretax Income Growth,-,-52.33%,-35.87%,-61.02%,192.39%
Income Tax,130M,50M,16M,(12M),31M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,642M,318M,220M,104M,238M
Minority Interest Expense,-,-,-,-,-
Net Income,642M,318M,220M,104M,238M
Net Income Growth,-,-50.47%,-30.82%,-52.73%,128.85%
Net Margin Growth,-,-,-,-,4.68%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,642M,318M,220M,104M,238M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,642M,318M,220M,104M,238M
EPS (Basic),3.4,1.71,1.22,0.61,1.4
EPS (Basic) Growth,-,-49.67%,-28.69%,-50.36%,131.11%
Basic Shares Outstanding,189.09M,186.09M,180.52M,171.89M,170.22M
EPS (Diluted),3.35,1.69,1.2,0.6,1.39
EPS (Diluted) Growth,-,-49.60%,-28.98%,-50.15%,131.80%
Diluted Shares Outstanding,191.39M,188.1M,183.25M,173.76M,171.56M
