Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,638.2M,650.2M,600.34M,590.68M,714.05M
Sales Growth,-,1.88%,-7.67%,-1.61%,20.89%
Cost of Goods Sold (COGS) incl. D&A,321.17M,329.09M,321.42M,320.23M,361.11M
COGS Growth,-,2.47%,-2.33%,-0.37%,12.77%
COGS excluding D&A,297.86M,305.47M,297.73M,295.38M,336.78M
Depreciation & Amortization Expense,23.31M,23.62M,23.69M,24.85M,24.33M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,317.04M,321.11M,278.93M,270.46M,352.94M
Gross Income Growth,-,1.28%,-13.14%,-3.04%,30.50%
Gross Profit Margin,-,-,-,-,49.43%
SG&A Expense,183.48M,194.26M,187.54M,178.79M,219.99M
SGA Growth,-,5.87%,-3.46%,-4.67%,23.05%
Research & Development,-,-,-,-,-
Other SG&A,183.48M,194.26M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,991K,547K,1.28M,1.28M,1.91M
Non-Operating Interest Income,-,-,1.3M,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,606K,322K,-,568K,880K
Interest Expense Growth,-,-46.86%,-,-,54.93%
Gross Interest Expense,606K,322K,-,568K,880K
Interest Capitalized,-,-,-,-,-
Pretax Income,133.94M,127.07M,93.98M,92.38M,133.99M
Pretax Income Growth,-,-5.13%,-26.05%,-1.70%,45.04%
Pretax Margin,-,-,-,-,18.76%
Income Tax,35.09M,33.22M,28.64M,19.94M,33.69M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,98.85M,93.85M,65.34M,72.45M,100.3M
Minority Interest Expense,-,-,-,-,-
Net Income,98.85M,93.85M,65.34M,72.45M,100.3M
Net Income Growth,-,-5.06%,-30.38%,10.88%,38.45%
Net Margin Growth,-,-,-,-,14.05%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,98.85M,93.85M,65.34M,72.45M,100.3M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,98.85M,93.85M,65.34M,72.45M,100.3M
EPS (Basic),0.2,0.19,0.13,0.15,0.2
EPS (Basic) Growth,-,-5.08%,-30.36%,10.84%,38.38%
Basic Shares Outstanding,492M,492.07M,492.04M,492.21M,492.33M
EPS (Diluted),0.2,0.19,0.13,0.15,0.2
EPS (Diluted) Growth,-,-5.08%,-30.36%,10.84%,38.38%
Diluted Shares Outstanding,492M,492.07M,492.04M,492.33M,492.44M
EBITDA,156.86M,150.46M,115.08M,116.52M,157.28M
EBITDA Growth,-,-4.08%,-23.52%,1.25%,34.99%
EBITDA Margin,-,-,-,-,22.03%
