Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,14.1B,11.53B,11.32B,9.56B,13.34B
Sales Growth,-,-18.25%,-1.84%,-15.56%,39.59%
Cost of Goods Sold (COGS) incl. D&A,-,7.89B,8.07B,7.15B,8.84B
COGS Growth,-,-,2.35%,-11.39%,23.57%
COGS excluding D&A,-,7.37B,7.59B,6.67B,8.39B
Depreciation & Amortization Expense,-,515M,481M,486M,447M
Depreciation,-,488M,454M,458M,413M
Amortization of Intangibles,-,27M,27M,28M,34M
Gross Income,4.59B,3.64B,3.25B,2.4B,4.5B
Gross Income Growth,-,-20.65%,-10.90%,-25.94%,87.23%
Gross Profit Margin,-,-,-,-,33.74%
SG&A Expense,-,1.24B,1.39B,1.18B,1.39B
SGA Growth,-,-,12.23%,-14.65%,17.08%
Research & Development,-,394M,450M,402M,453M
Other SG&A,-,841M,-,-,-
Other Operating Expense,316M,-,-,-,328M
Unusual Expense,-,(130M),174M,(17M),502M
EBIT after Unusual Expense,-,130M,(174M),17M,(502M)
Non Operating Income/Expense,-,(3M),(2M),(2M),266M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,385M,71M,85M,-
Interest Expense Growth,-,-,-81.56%,19.72%,-
Gross Interest Expense,-,385M,71M,85M,-
Interest Capitalized,-,-,-,-,-
Pretax Income,2.54B,2.15B,1.61B,1.15B,2.55B
Pretax Income Growth,-,-15.32%,-24.98%,-28.64%,121.72%
Pretax Margin,-,-,-,-,19.13%
Income Tax,654M,491M,330M,250M,461M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,8M,1M,3M,6M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.89B,1.67B,1.28B,904M,2.1B
Minority Interest Expense,1M,-,1M,1M,(1M)
Net Income,-,1.67B,1.28B,903M,2.1B
Net Income Growth,-,-,-23.04%,-29.62%,132.34%
Net Margin Growth,-,-,-,-,15.73%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,1.67B,1.28B,903M,2.1B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,1.67B,1.28B,903M,2.1B
EPS (Basic),6.2,5.36,4.15,2.94,6.85
EPS (Basic) Growth,-,-13.48%,-22.56%,-29.23%,133.25%
Basic Shares Outstanding,304.1M,311M,309.1M,307.4M,306.2M
EPS (Diluted),-,5.32,4.12,2.92,6.81
EPS (Diluted) Growth,-,-,-22.57%,-29.14%,133.31%
Diluted Shares Outstanding,305.7M,313.4M,311.5M,309.4M,308.1M
EBITDA,-,2.92B,2.34B,1.71B,3.24B
EBITDA Growth,-,-,-19.91%,-27.08%,89.51%
EBITDA Margin,-,-,-,-,24.25%
