Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,12.36B,12.27B,11.38B,10.89B,12.25B
Sales Growth,-,-0.70%,-7.27%,-4.25%,12.49%
Cost of Goods Sold (COGS) incl. D&A,6.63B,6.49B,6.11B,5.82B,6.79B
COGS Growth,-,-2.19%,-5.74%,-4.79%,16.60%
COGS excluding D&A,6.43B,6.31B,5.93B,5.64B,6.61B
Depreciation & Amortization Expense,201M,177M,181M,180M,179M
Depreciation,201M,177M,181M,180M,179M
Amortization of Intangibles,-,-,-,-,-
Gross Income,5.72B,5.78B,5.26B,5.07B,5.47B
Gross Income Growth,-,1.03%,-8.99%,-3.63%,7.77%
Gross Profit Margin,-,-,-,-,44.61%
SG&A Expense,3.7B,3.57B,3.76B,3.44B,4.04B
SGA Growth,-,-3.38%,5.26%,-8.54%,17.42%
Research & Development,-,-,-,-,-
Other SG&A,3.7B,3.57B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,98M,(18M),(5M),20M,(35M)
EBIT after Unusual Expense,(98M),18M,5M,(20M),35M
Non Operating Income/Expense,(15M),(67M),46M,107M,(52M)
Non-Operating Interest Income,13M,17M,18M,22M,37M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,74M,74M,72M,73M,75M
Interest Expense Growth,-,0.00%,-2.70%,1.39%,2.74%
Gross Interest Expense,74M,74M,72M,73M,75M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.85B,2.11B,1.5B,1.67B,1.37B
Pretax Income Growth,-,13.59%,-28.73%,11.26%,-17.72%
Pretax Margin,-,-,-,-,11.21%
Income Tax,345M,232M,164M,274M,(65M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.51B,1.87B,1.34B,1.4B,1.44B
Minority Interest Expense,-,-,-,-,-
Net Income,1.51B,1.87B,1.34B,1.4B,1.44B
Net Income Growth,-,24.19%,-28.66%,4.41%,3.08%
Net Margin Growth,-,-,-,-,11.74%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.51B,1.87B,1.34B,1.4B,1.44B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.51B,1.87B,1.34B,1.4B,1.44B
EPS (Basic),0.96,1.18,0.84,0.88,0.92
EPS (Basic) Growth,-,23.95%,-28.68%,4.64%,3.54%
Basic Shares Outstanding,1.58B,1.58B,1.58B,1.58B,1.57B
EPS (Diluted),0.93,1.16,0.83,0.87,0.9
EPS (Diluted) Growth,-,23.83%,-28.56%,4.85%,4.10%
Diluted Shares Outstanding,1.61B,1.62B,1.62B,1.61B,1.6B
EBITDA,2.23B,2.39B,1.69B,1.81B,1.61B
EBITDA Growth,-,7.18%,-29.47%,7.66%,-11.36%
EBITDA Margin,-,-,-,-,13.12%
