Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.23B,1.17B,1.36B,1.26B,1.23B
Sales Growth,-,-5.03%,16.94%,-7.69%,-2.37%
Cost of Goods Sold (COGS) incl. D&A,580.18M,573.75M,680.7M,642.81M,625.11M
COGS Growth,-,-1.11%,18.64%,-5.57%,-2.75%
COGS excluding D&A,504.54M,486.64M,555.63M,522.76M,505.7M
Depreciation & Amortization Expense,75.64M,87.11M,125.07M,120.05M,119.41M
Depreciation,16.04M,16.11M,19.51M,17.35M,18.51M
Amortization of Intangibles,59.6M,71M,105.56M,102.7M,100.9M
Gross Income,648.29M,592.94M,683.62M,616.63M,604.46M
Gross Income Growth,-,-8.54%,15.29%,-9.80%,-1.97%
Gross Profit Margin,-,-,-,-,49.16%
SG&A Expense,299.91M,295.18M,364.73M,327.21M,319.11M
SGA Growth,-,-1.58%,23.56%,-10.29%,-2.48%
Research & Development,65.82M,68.61M,80.32M,76.61M,73.35M
Other SG&A,234.08M,226.57M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,10.57M,99.95M,6.33M,46.7M,31.59M
EBIT after Unusual Expense,(10.57M),(99.95M),(6.33M),(46.7M),(31.59M)
Non Operating Income/Expense,4.62M,6.85M,25.92M,2.67M,(2.93M)
Non-Operating Interest Income,367K,544K,919K,595K,762K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,16.75M,43.53M,27.72M,28.39M,27.13M
Interest Expense Growth,-,159.89%,-36.32%,2.41%,-4.44%
Gross Interest Expense,16.75M,43.53M,27.72M,28.39M,27.13M
Interest Capitalized,-,-,-,-,-
Pretax Income,326.06M,161.67M,311.68M,217.6M,224.47M
Pretax Income Growth,-,-50.42%,92.79%,-30.18%,3.16%
Pretax Margin,-,-,-,-,18.26%
Income Tax,80.09M,33.88M,132.49M,40.6M,45.22M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,245.97M,127.79M,179.19M,177M,179.25M
Minority Interest Expense,-,-,-,-,-
Net Income,245.97M,127.79M,179.19M,177M,179.25M
Net Income Growth,-,-48.05%,40.23%,-1.22%,1.27%
Net Margin Growth,-,-,-,-,14.58%
Extraordinaries & Discontinued Operations,(38K),(47K),-,-,-
Extra Items & Gain/Loss Sale Of Assets,(38K),(47K),(3K),(41K),(40K)
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,245.93M,127.74M,179.18M,176.96M,179.21M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,245.97M,127.79M,179.19M,177M,179.25M
EPS (Basic),2.2,1.12,1.42,1.4,1.42
EPS (Basic) Growth,-,-49.20%,27.19%,-1.13%,1.28%
Basic Shares Outstanding,111.97M,114.51M,126.24M,126.14M,126.13M
EPS (Diluted),2.19,1.11,1.41,1.4,1.42
EPS (Diluted) Growth,-,-49.22%,27.28%,-1.16%,1.37%
Diluted Shares Outstanding,112.42M,115.02M,126.72M,126.64M,126.51M
EBITDA,424.02M,384.87M,443.96M,409.47M,404.76M
EBITDA Growth,-,-9.23%,15.35%,-7.77%,-1.15%
EBITDA Margin,-,-,-,-,32.92%
