Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,7.42B,8.27B,7.69B,7.79B,8.64B
Sales Growth,-,11.48%,-7.09%,1.29%,10.99%
Cost of Goods Sold (COGS) incl. D&A,4.32B,4.37B,4.12B,4.11B,4.61B
COGS Growth,-,1.25%,-5.68%,-0.29%,12.09%
COGS excluding D&A,2.76B,2.75B,2.45B,2.37B,2.79B
Depreciation & Amortization Expense,1.56B,1.62B,1.67B,1.74B,1.82B
Depreciation,-,-,1.65B,1.72B,1.8B
Amortization of Intangibles,-,-,20M,20M,23M
Gross Income,3.11B,3.9B,3.57B,3.68B,4.04B
Gross Income Growth,-,25.69%,-8.68%,3.11%,9.77%
Gross Profit Margin,-,-,-,-,46.69%
SG&A Expense,900M,941M,971M,1.06B,1.04B
SGA Growth,-,4.56%,3.19%,8.65%,-1.71%
Research & Development,670M,705M,712M,792M,773M
Other SG&A,230M,236M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,453M,26M,121M,5M,-
EBIT after Unusual Expense,(453M),(26M),(121M),(5M),-
Non Operating Income/Expense,91M,37M,83M,(64M),14M
Non-Operating Interest Income,8M,9M,10M,12M,20M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,46M,47M,45M,55M,44M
Interest Expense Growth,-,2.17%,-4.26%,22.22%,-20.00%
Gross Interest Expense,46M,47M,45M,55M,44M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.81B,2.94B,2.52B,2.51B,2.99B
Pretax Income Growth,-,62.57%,-14.13%,-0.48%,19.09%
Pretax Margin,-,-,-,-,34.58%
Income Tax,65M,230M,219M,255M,358M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(6M),14M,4M,9M,(4M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.74B,2.72B,2.31B,2.26B,2.63B
Minority Interest Expense,-,-,-,-,-
Net Income,1.74B,2.72B,2.31B,2.26B,2.63B
Net Income Growth,-,56.77%,-15.22%,-1.86%,16.04%
Net Margin Growth,-,-,-,-,30.39%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.74B,2.72B,2.31B,2.26B,2.63B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.74B,2.72B,2.31B,2.26B,2.63B
EPS (Basic),1.55,2.42,2.06,2.02,2.36
EPS (Basic) Growth,-,56.50%,-14.92%,-1.87%,16.77%
Basic Shares Outstanding,1.12B,1.12B,1.12B,1.12B,1.11B
EPS (Diluted),1.52,2.39,2.04,2,2.34
EPS (Diluted) Growth,-,57.74%,-14.62%,-1.87%,16.98%
Diluted Shares Outstanding,1.15B,1.14B,1.13B,1.13B,1.12B
EBITDA,3.76B,4.58B,4.27B,4.36B,4.82B
EBITDA Growth,-,21.82%,-6.96%,2.30%,10.45%
EBITDA Margin,-,-,-,-,55.76%
