Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,773.9M,830.57M,894.2M,1.13B,1.48B
Sales Growth,-,7.32%,7.66%,26.12%,31.20%
Cost of Goods Sold (COGS) incl. D&A,525.48M,581.39M,647.11M,681.5M,898.67M
COGS Growth,-,10.64%,11.30%,5.31%,31.87%
COGS excluding D&A,464.06M,519.21M,578.88M,612.12M,827.68M
Depreciation & Amortization Expense,61.42M,62.18M,68.24M,69.37M,70.99M
Depreciation,55.05M,55.87M,62.01M,63.35M,65.17M
Amortization of Intangibles,6.37M,6.31M,6.22M,6.02M,5.82M
Gross Income,248.42M,249.17M,247.09M,446.23M,580.92M
Gross Income Growth,-,0.30%,-0.83%,80.59%,30.18%
Gross Profit Margin,-,-,-,-,39.26%
SG&A Expense,128.81M,114.46M,116.33M,119.13M,139.85M
SGA Growth,-,-11.14%,1.63%,2.41%,17.40%
Research & Development,13.98M,13.29M,12.13M,16.08M,17.39M
Other SG&A,114.84M,101.17M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,1.83M,3.51M,29.19M,5.8M,49.47M
EBIT after Unusual Expense,(1.83M),(3.51M),(29.19M),(5.8M),(49.47M)
Non Operating Income/Expense,424.02M,(642.23M),(103.66M),7M,38.81M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,6.6M,5.79M,5.98M,28.67M,28.96M
Interest Expense Growth,-,-12.34%,3.30%,379.56%,1.01%
Gross Interest Expense,6.6M,5.79M,5.98M,28.67M,28.96M
Interest Capitalized,-,-,-,-,-
Pretax Income,535.2M,(516.81M),(8.06M),299.64M,401.45M
Pretax Income Growth,-,-196.56%,98.44%,"3,816.71%",33.98%
Pretax Margin,-,-,-,-,27.13%
Income Tax,106.99M,(114.67M),15.02M,80.53M,89.02M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,18M,27.71M,33.56M,62.44M,128.16M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,446.21M,(374.43M),10.47M,281.55M,440.59M
Minority Interest Expense,21.61M,18.35M,14.29M,28.16M,33.82M
Net Income,424.6M,(392.78M),(3.82M),253.38M,406.77M
Net Income Growth,-,-192.51%,99.03%,"6,726.12%",60.54%
Net Margin Growth,-,-,-,-,27.49%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,424.6M,(392.78M),(3.82M),253.38M,406.77M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,424.6M,(392.78M),(3.82M),253.38M,406.77M
EPS (Basic),3.64,(3.36),(0.03),2.16,3.47
EPS (Basic) Growth,-,-192.38%,99.03%,"6,718.96%",60.47%
Basic Shares Outstanding,116.81M,116.97M,117M,117.07M,117.12M
EPS (Diluted),3.62,(3.36),(0.03),2.15,3.46
EPS (Diluted) Growth,-,-192.88%,99.03%,"6,685.93%",60.44%
Diluted Shares Outstanding,117.44M,116.97M,117M,117.65M,117.72M
EBITDA,181.03M,196.9M,199M,396.48M,512.06M
EBITDA Growth,-,8.76%,1.07%,99.23%,29.15%
EBITDA Margin,-,-,-,-,34.61%
