Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,17.03B,18.54B,21.8B,20.25B,21.48B
Sales Growth,-,8.87%,17.61%,-7.11%,6.05%
Cost of Goods Sold (COGS) incl. D&A,12.47B,13.56B,15.81B,13.84B,14.95B
COGS Growth,-,8.75%,16.53%,-12.46%,8.08%
COGS excluding D&A,11.21B,12.29B,14.54B,12.55B,13.66B
Depreciation & Amortization Expense,1.27B,1.28B,1.27B,1.29B,1.29B
Depreciation,761M,776M,767M,786M,805M
Amortization of Intangibles,505M,499M,502M,501M,485M
Gross Income,4.55B,4.97B,6B,6.42B,6.52B
Gross Income Growth,-,9.22%,20.55%,7.01%,1.68%
Gross Profit Margin,-,-,-,-,30.37%
SG&A Expense,3.17B,4.32B,3.79B,3.77B,4.1B
SGA Growth,-,36.33%,-12.32%,-0.50%,8.81%
Research & Development,-,-,-,-,-
Other SG&A,3.17B,-,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,241M,157M,424M,1.39B,189M
EBIT after Unusual Expense,(241M),(157M),(424M),(1.39B),(189M)
Non Operating Income/Expense,81M,3M,30M,37M,40M
Non-Operating Interest Income,-,-,34M,3M,7M
Equity in Affiliates (Pretax),211M,113M,239M,210M,225M
Interest Expense,441M,323M,399M,404M,387M
Interest Expense Growth,-,-26.76%,23.53%,1.25%,-4.21%
Gross Interest Expense,466M,429M,429M,444M,426M
Interest Capitalized,25M,106M,30M,40M,39M
Pretax Income,995M,290M,1.69B,1.1B,2.12B
Pretax Income Growth,-,-70.85%,482.07%,-34.72%,92.29%
Pretax Margin,-,-,-,-,9.87%
Income Tax,(133M),34M,488M,505M,617M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.13B,256M,1.2B,597M,1.5B
Minority Interest Expense,205M,96M,48M,127M,93M
Net Income,923M,160M,1.15B,470M,1.41B
Net Income Growth,-,-82.67%,620.00%,-59.20%,199.79%
Net Margin Growth,-,-,-,-,6.56%
Extraordinaries & Discontinued Operations,(5M),(1M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(5M),(1M),(48M),-,-
Net Income After Extraordinaries,918M,159M,1.1B,470M,1.41B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,918M,159M,1.1B,470M,1.41B
EPS (Basic),0.51,0.09,0.61,0.26,0.77
EPS (Basic) Growth,-,-82.67%,593.60%,-57.49%,199.57%
Basic Shares Outstanding,1.82B,1.82B,1.82B,1.82B,1.82B
EPS (Diluted),0.5,0.09,0.6,0.26,0.77
EPS (Diluted) Growth,-,-82.68%,594.94%,-57.28%,199.22%
Diluted Shares Outstanding,1.83B,1.83B,1.83B,1.83B,1.83B
EBITDA,2.65B,1.93B,3.48B,3.93B,3.71B
EBITDA Growth,-,-27.24%,80.25%,13.14%,-5.62%
EBITDA Margin,-,-,-,-,17.29%
