Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.38B,1.56B,1.5B,1.23B,1.64B
Sales Growth,-,13.02%,-3.91%,-17.75%,33.38%
Cost of Goods Sold (COGS) incl. D&A,992.8M,1.12B,1.15B,1.07B,1.22B
COGS Growth,-,12.35%,3.08%,-6.52%,13.19%
COGS excluding D&A,884.9M,1B,1.02B,946.5M,1.09B
Depreciation & Amortization Expense,107.9M,113.5M,131.7M,128.2M,128.4M
Depreciation,106.1M,107.2M,108.6M,113.6M,114M
Amortization of Intangibles,1.8M,6.3M,23.1M,14.6M,14.4M
Gross Income,385.1M,441.9M,346.7M,156.1M,425.2M
Gross Income Growth,-,14.75%,-21.54%,-54.98%,172.39%
Gross Profit Margin,-,-,-,-,25.90%
SG&A Expense,81.7M,85.9M,102.9M,97.1M,104.1M
SGA Growth,-,5.14%,19.79%,-5.64%,7.21%
Research & Development,-,-,-,-,-
Other SG&A,81.7M,85.9M,-,-,-
Other Operating Expense,(14.1M),(8.4M),(6M),(2.3M),(160.4M)
Unusual Expense,10M,7.5M,39.8M,1.4M,2.9M
EBIT after Unusual Expense,(10M),(7.5M),(39.8M),(1.4M),(2.9M)
Non Operating Income/Expense,8.7M,5.6M,700K,10.8M,22M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,28.1M,44.3M,42.8M,40.5M,43.1M
Interest Expense Growth,-,57.65%,-3.39%,-5.37%,6.42%
Gross Interest Expense,28.1M,44.3M,42.8M,40.5M,43.1M
Interest Capitalized,-,-,-,-,-
Pretax Income,288.1M,318.2M,167.9M,30.2M,457.5M
Pretax Income Growth,-,10.45%,-47.23%,-82.01%,"1,414.90%"
Pretax Margin,-,-,-,-,27.87%
Income Tax,62.3M,63.6M,11.6M,5.8M,104.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(200K),-,(200K),-,-
Consolidated Net Income,225.6M,254.6M,156.1M,24.4M,353.1M
Minority Interest Expense,-,-,100K,(100K),(100K)
Net Income,225.6M,254.6M,156M,24.5M,353.2M
Net Income Growth,-,12.85%,-38.73%,-84.29%,"1,341.63%"
Net Margin Growth,-,-,-,-,21.51%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,(6M),-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,6.5M,(3.1M),13.3M
Net Income After Extraordinaries,225.6M,254.6M,156.5M,21.4M,366.5M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,225.6M,254.6M,162.5M,21.4M,366.5M
EPS (Basic),3.62,4.08,2.6,0.34,5.87
EPS (Basic) Growth,-,12.85%,-36.17%,-86.83%,"1,612.86%"
Basic Shares Outstanding,62.4M,62.4M,62.4M,62.4M,62.4M
EPS (Diluted),3.61,4.07,2.59,0.34,5.86
EPS (Diluted) Growth,-,12.67%,-36.28%,-86.81%,"1,615.62%"
Diluted Shares Outstanding,62.5M,62.6M,62.7M,62.6M,62.5M
EBITDA,425.4M,477.9M,381.5M,189.5M,609.9M
EBITDA Growth,-,12.34%,-20.17%,-50.33%,221.85%
EBITDA Margin,-,-,-,-,37.15%
