Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,16.02B,15.35B,16.64B,16.97B,16.35B
Sales Growth,-,-4.23%,8.45%,1.97%,-3.67%
Cost of Goods Sold (COGS) incl. D&A,12.47B,11.94B,13.51B,13.68B,13.19B
COGS Growth,-,-4.31%,13.17%,1.28%,-3.60%
COGS excluding D&A,12.29B,11.74B,13.31B,13.48B,13B
Depreciation & Amortization Expense,186M,196M,200M,197M,193M
Depreciation,154M,154M,149M,145M,141M
Amortization of Intangibles,32M,42M,51M,52M,52M
Gross Income,3.55B,3.41B,3.14B,3.29B,3.16B
Gross Income Growth,-,-3.94%,-8.06%,4.94%,-3.95%
Gross Profit Margin,-,-,-,-,19.33%
SG&A Expense,2B,1.89B,1.92B,1.89B,1.89B
SGA Growth,-,-5.66%,1.80%,-1.67%,0.11%
Research & Development,514M,477M,445M,418M,425M
Other SG&A,1.48B,1.41B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,77M,131M,(2.23B),146M,114M
EBIT after Unusual Expense,(77M),(131M),2.23B,(146M),(114M)
Non Operating Income/Expense,(75M),-,139M,131M,156M
Non-Operating Interest Income,-,-,31M,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,64M,68M,61M,61M,74M
Interest Expense Growth,-,6.25%,-10.29%,0.00%,21.31%
Gross Interest Expense,64M,68M,61M,61M,74M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.34B,1.33B,3.55B,1.33B,1.24B
Pretax Income Growth,-,-0.75%,167.95%,-62.65%,-6.63%
Pretax Margin,-,-,-,-,7.58%
Income Tax,108M,218M,454M,241M,239M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.23B,1.11B,3.1B,1.09B,1B
Minority Interest Expense,-,-,-,-,-
Net Income,1.23B,1.11B,3.1B,1.09B,1B
Net Income Growth,-,-9.77%,179.69%,-64.96%,-7.92%
Net Margin Growth,-,-,-,-,6.12%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.23B,1.11B,3.1B,1.09B,1B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.23B,1.11B,3.1B,1.09B,1B
EPS (Basic),1,0.94,2.75,1,0.95
EPS (Basic) Growth,-,-6.04%,193.83%,-63.43%,-5.20%
Basic Shares Outstanding,1.23B,1.19B,1.13B,1.08B,1.05B
EPS (Diluted),0.98,0.92,2.71,0.99,0.94
EPS (Diluted) Growth,-,-6.16%,193.26%,-63.37%,-5.15%
Diluted Shares Outstanding,1.25B,1.2B,1.14B,1.09B,1.06B
EBITDA,1.74B,1.72B,1.42B,1.6B,1.46B
EBITDA Growth,-,-0.98%,-17.72%,12.99%,-8.50%
EBITDA Margin,-,-,-,-,8.96%
