Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.7B,3.62B,3.57B,3.41B,3.49B
Sales Growth,-,-2.19%,-1.41%,-4.34%,2.17%
Cost of Goods Sold (COGS) incl. D&A,2.62B,2.56B,2.53B,2.42B,2.51B
COGS Growth,-,-2.33%,-1.06%,-4.43%,3.93%
COGS excluding D&A,2.57B,2.51B,2.48B,2.37B,2.46B
Depreciation & Amortization Expense,51M,50M,51M,48M,49M
Depreciation,29M,28M,31M,29M,31M
Amortization of Intangibles,22M,22M,20M,19M,18M
Gross Income,1.08B,1.06B,1.04B,997M,976M
Gross Income Growth,-,-1.85%,-2.26%,-4.13%,-2.11%
Gross Profit Margin,-,-,-,-,27.98%
SG&A Expense,522M,499M,539M,485M,463M
SGA Growth,-,-4.41%,8.02%,-10.02%,-4.54%
Research & Development,39M,39M,46M,37M,38M
Other SG&A,483M,460M,-,-,-
Other Operating Expense,(9M),(4M),1M,(22M),16M
Unusual Expense,10M,27M,4M,8M,10M
EBIT after Unusual Expense,(10M),(27M),(4M),(8M),(10M)
Non Operating Income/Expense,(2M),(2M),(5M),-,(1M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,27M,33M,44M,37M,35M
Interest Expense Growth,-,22.22%,33.33%,-15.91%,-5.41%
Gross Interest Expense,27M,33M,44M,37M,35M
Interest Capitalized,-,-,-,-,-
Pretax Income,532M,507M,447M,489M,451M
Pretax Income Growth,-,-4.70%,-11.83%,9.40%,-7.77%
Pretax Margin,-,-,-,-,12.93%
Income Tax,153M,128M,137M,136M,103M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,379M,379M,310M,353M,348M
Minority Interest Expense,53M,48M,29M,42M,27M
Net Income,326M,331M,281M,311M,321M
Net Income Growth,-,1.53%,-15.11%,10.68%,3.22%
Net Margin Growth,-,-,-,-,9.20%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,326M,331M,281M,311M,321M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,326M,331M,281M,311M,321M
EPS (Basic),0.76,0.78,0.66,0.73,0.76
EPS (Basic) Growth,-,2.03%,-14.93%,10.86%,3.91%
Basic Shares Outstanding,427.9M,425.8M,424.9M,424.2M,421.4M
EPS (Diluted),0.76,0.77,0.65,0.73,0.76
EPS (Diluted) Growth,-,1.77%,-14.80%,11.04%,4.06%
Diluted Shares Outstanding,431.6M,430.6M,429.1M,427.7M,424.2M
EBITDA,622M,619M,551M,582M,546M
EBITDA Growth,-,-0.48%,-10.99%,5.63%,-6.19%
EBITDA Margin,-,-,-,-,15.65%
