Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.18B,2.2B,2.02B,2.2B,2.35B
Sales Growth,-,1.15%,-8.26%,8.85%,6.86%
Cost of Goods Sold (COGS) incl. D&A,1.39B,1.45B,1.4B,1.5B,1.58B
COGS Growth,-,4.54%,-3.31%,6.70%,5.74%
COGS excluding D&A,1.35B,1.42B,1.37B,1.46B,1.55B
Depreciation & Amortization Expense,35M,36M,36M,35M,36M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,791M,753M,619M,704M,769M
Gross Income Growth,-,-4.80%,-17.80%,13.73%,9.23%
Gross Profit Margin,-,-,-,-,32.70%
SG&A Expense,354M,368M,356M,351M,361M
SGA Growth,-,3.95%,-3.26%,-1.40%,2.85%
Research & Development,-,-,-,-,-
Other SG&A,354M,368M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,14M,47M,4M,(28M)
EBIT after Unusual Expense,-,(14M),(47M),(4M),28M
Non Operating Income/Expense,(415M),(8M),-,3M,(12M)
Non-Operating Interest Income,-,-,1M,-,1M
Equity in Affiliates (Pretax),-,5M,-,-,-
Interest Expense,25M,26M,25M,25M,28M
Interest Expense Growth,-,4.00%,-3.85%,0.00%,12.00%
Gross Interest Expense,25M,26M,25M,25M,28M
Interest Capitalized,-,-,-,-,-
Pretax Income,(3M),342M,192M,327M,397M
Pretax Income Growth,-,"11,500.00%",-43.86%,70.31%,21.41%
Pretax Margin,-,-,-,-,16.88%
Income Tax,12M,103M,52M,75M,103M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,(1M),(1M),-,(1M)
Consolidated Net Income,(15M),238M,139M,252M,293M
Minority Interest Expense,21M,19M,4M,18M,17M
Net Income,(36M),219M,135M,234M,276M
Net Income Growth,-,708.33%,-38.36%,73.33%,17.95%
Net Margin Growth,-,-,-,-,11.73%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(36M),219M,135M,234M,276M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(36M),219M,135M,234M,276M
EPS (Basic),(0.14),0.89,0.56,0.98,1.19
EPS (Basic) Growth,-,722.95%,-37.13%,74.93%,22.03%
Basic Shares Outstanding,252M,246M,241.2M,239M,231M
EPS (Diluted),(0.14),0.89,0.55,0.97,1.18
EPS (Diluted) Growth,-,720.43%,-37.85%,76.23%,22.00%
Diluted Shares Outstanding,252M,247M,245M,241M,233M
EBITDA,472M,421M,299M,388M,444M
EBITDA Growth,-,-10.81%,-28.98%,29.77%,14.43%
EBITDA Margin,-,-,-,-,18.88%
