Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.28B,2.46B,3.23B,2.52B,2.49B
Sales Growth,-,7.82%,31.57%,-21.86%,-1.35%
Cost of Goods Sold (COGS) incl. D&A,1.57B,1.98B,2.16B,1.74B,1.88B
COGS Growth,-,26.21%,9.10%,-19.59%,8.35%
COGS excluding D&A,1.09B,1.48B,1.69B,1.23B,1.36B
Depreciation & Amortization Expense,474M,499M,466M,509M,519M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,709M,476M,1.07B,788M,609M
Gross Income Growth,-,-32.86%,125.00%,-26.42%,-22.72%
Gross Profit Margin,-,-,-,-,24.46%
SG&A Expense,114M,149M,166M,154M,160M
SGA Growth,-,30.70%,11.41%,-7.23%,3.90%
Research & Development,-,-,-,-,-
Other SG&A,114M,149M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,3M,5M,-,-
EBIT after Unusual Expense,-,(3M),(5M),-,-
Non Operating Income/Expense,7M,35M,39M,25M,29M
Non-Operating Interest Income,2M,2M,1M,1M,2M
Equity in Affiliates (Pretax),135M,157M,185M,136M,163M
Interest Expense,298M,292M,295M,286M,281M
Interest Expense Growth,-,-2.01%,1.03%,-3.05%,-1.75%
Gross Interest Expense,301M,295M,298M,289M,286M
Interest Capitalized,3M,3M,3M,3M,5M
Pretax Income,441M,226M,830M,510M,362M
Pretax Income Growth,-,-48.75%,267.26%,-38.55%,-29.02%
Pretax Margin,-,-,-,-,14.54%
Income Tax,119M,53M,198M,118M,(45M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,322M,173M,632M,392M,407M
Minority Interest Expense,18M,8M,10M,12M,7M
Net Income,304M,165M,622M,380M,400M
Net Income Growth,-,-45.72%,276.97%,-38.91%,5.26%
Net Margin Growth,-,-,-,-,16.06%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,304M,165M,622M,380M,400M
Preferred Dividends,-,1M,1M,1M,-
Net Income Available to Common,304M,164M,621M,379M,400M
EPS (Basic),0.25,0.13,0.51,0.31,0.33
EPS (Basic) Growth,-,-46.08%,278.87%,-39.07%,5.39%
Basic Shares Outstanding,1.22B,1.22B,1.22B,1.22B,1.22B
EPS (Diluted),0.25,0.13,0.51,0.31,0.33
EPS (Diluted) Growth,-,-46.10%,279.72%,-39.29%,5.45%
Diluted Shares Outstanding,1.22B,1.22B,1.22B,1.22B,1.22B
EBITDA,1.07B,826M,1.37B,1.14B,968M
EBITDA Growth,-,-22.73%,65.98%,-16.63%,-15.31%
EBITDA Margin,-,-,-,-,38.88%
