Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.12B,1.31B,1.51B,1.34B,1.23B
Sales Growth,-,17.42%,15.22%,-11.57%,-7.71%
Cost of Goods Sold (COGS) incl. D&A,560.2M,707.6M,829M,719.9M,671.2M
COGS Growth,-,26.31%,17.16%,-13.16%,-6.76%
COGS excluding D&A,469.2M,537.7M,647.5M,555.5M,508.3M
Depreciation & Amortization Expense,91M,169.9M,181.5M,164.4M,162.9M
Depreciation,84.7M,89.3M,94.2M,98.4M,97M
Amortization of Intangibles,6.3M,80.6M,87.3M,66M,65.9M
Gross Income,556.2M,603.3M,681.4M,615.7M,561.4M
Gross Income Growth,-,8.47%,12.95%,-9.64%,-8.82%
Gross Profit Margin,-,-,-,-,45.55%
SG&A Expense,215.9M,209M,233.1M,243.7M,233.5M
SGA Growth,-,-3.20%,11.53%,4.55%,-4.19%
Research & Development,130.8M,149.2M,151.1M,160.7M,156.5M
Other SG&A,85.1M,100.5M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,500K,66.8M,2.4M,4.7M,2.1M
EBIT after Unusual Expense,(500K),(66.8M),(2.4M),(4.7M),(2.1M)
Non Operating Income/Expense,(1.3M),(600K),1.2M,(1.8M),(400K)
Non-Operating Interest Income,300K,100K,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,2.6M,10.8M,11M,11.4M,11.3M
Interest Expense Growth,-,315.38%,1.85%,3.64%,-0.88%
Gross Interest Expense,2.6M,10.8M,11M,11.4M,11.3M
Interest Capitalized,-,-,-,-,-
Pretax Income,336.2M,316.2M,436.1M,354.1M,314.1M
Pretax Income Growth,-,-5.95%,37.92%,-18.80%,-11.30%
Pretax Margin,-,-,-,-,25.48%
Income Tax,(1.6M),(10.1M),36.2M,48.3M,46.8M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,337.8M,326.3M,399.9M,305.8M,267.3M
Minority Interest Expense,-,-,-,-,-
Net Income,337.8M,326.3M,399.9M,305.8M,267.3M
Net Income Growth,-,-3.40%,22.56%,-23.53%,-12.59%
Net Margin Growth,-,-,-,-,21.69%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,337.8M,326.3M,399.9M,305.8M,267.3M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,337.8M,326.3M,399.9M,305.8M,267.3M
EPS (Basic),2.05,1.98,2.42,1.87,1.66
EPS (Basic) Growth,-,-3.46%,22.63%,-22.88%,-11.07%
Basic Shares Outstanding,165.1M,165.2M,165.1M,163.7M,160.9M
EPS (Diluted),2.02,1.95,2.4,1.86,1.66
EPS (Diluted) Growth,-,-3.58%,23.22%,-22.60%,-11.02%
Diluted Shares Outstanding,167M,167.3M,166.4M,164.4M,161.5M
EBITDA,431.3M,564.2M,629.8M,536.4M,490.8M
EBITDA Growth,-,30.81%,11.63%,-14.83%,-8.50%
EBITDA Margin,-,-,-,-,39.82%
