Item,31-Mar-2021,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Sales/Revenue,1.21B,1.2B,1.28B,1.29B,1.32B
Sales Growth,-,-1.16%,7.36%,0.16%,3.04%
Cost of Goods Sold (COGS) incl. D&A,932M,927M,995M,984M,1.01B
COGS Growth,-,-0.54%,7.34%,-1.11%,2.74%
COGS excluding D&A,864M,860M,927M,917M,945M
Depreciation & Amortization Expense,68M,67M,68M,67M,66M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,277M,268M,288M,301M,313M
Gross Income Growth,-,-3.25%,7.46%,4.51%,3.99%
Gross Profit Margin,-,-,-,-,23.64%
SG&A Expense,70M,59M,74M,65M,76M
SGA Growth,-,-15.71%,25.42%,-12.16%,16.92%
Research & Development,5M,4M,4M,4M,7M
Other SG&A,65M,55M,70M,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,18M,2M,127M,94M,7M
EBIT after Unusual Expense,(18M),(2M),(127M),(94M),(7M)
Non Operating Income/Expense,(4M),(9M),(2M),(6M),(1M)
Non-Operating Interest Income,-,1M,1M,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,72M,89M,63M,58M,58M
Interest Expense Growth,-,23.61%,-29.21%,-7.94%,0.00%
Gross Interest Expense,72M,89M,63M,58M,58M
Interest Capitalized,-,-,-,-,-
Pretax Income,113M,110M,23M,78M,171M
Pretax Income Growth,-,-2.65%,-79.09%,239.13%,119.23%
Pretax Margin,-,-,-,-,12.92%
Income Tax,33M,36M,(4M),1M,40M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,80M,74M,27M,77M,131M
Minority Interest Expense,-,-,-,-,-
Net Income,80M,74M,27M,77M,131M
Net Income Growth,-,-7.50%,-63.51%,185.19%,70.13%
Net Margin Growth,-,-,-,-,9.89%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,80M,74M,27M,77M,131M
Preferred Dividends,1M,1M,1M,1M,1M
Net Income Available to Common,79M,73M,26M,76M,130M
EPS (Basic),0.18,0.17,0.06,0.18,0.31
EPS (Basic) Growth,-,-7.14%,-64.14%,194.55%,73.84%
Basic Shares Outstanding,434M,432M,429M,425.66M,419M
EPS (Diluted),0.18,0.17,0.06,0.18,0.31
EPS (Diluted) Growth,-,-7.22%,-64.13%,194.16%,73.61%
Diluted Shares Outstanding,439M,437M,434M,431.46M,425M
EBITDA,275M,276M,282M,303M,303M
EBITDA Growth,-,0.36%,2.17%,7.45%,0.00%
EBITDA Margin,-,-,-,-,22.89%
