Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,8.81B,8.47B,8.66B,8.38B,8.95B
Sales Growth,-,-3.82%,2.18%,-3.25%,6.88%
Cost of Goods Sold (COGS) incl. D&A,5.92B,5.69B,5.73B,5.48B,5.91B
COGS Growth,-,-3.90%,0.77%,-4.43%,7.96%
COGS excluding D&A,5.63B,5.38B,5.44B,5.15B,5.64B
Depreciation & Amortization Expense,284M,308M,290M,330M,275M
Depreciation,164M,171M,168M,167M,161M
Amortization of Intangibles,120M,137M,122M,163M,114M
Gross Income,2.89B,2.79B,2.93B,2.9B,3.04B
Gross Income Growth,-,-3.63%,5.06%,-0.92%,4.83%
Gross Profit Margin,-,-,-,-,33.95%
SG&A Expense,1.19B,1.12B,1.18B,1.24B,1.28B
SGA Growth,-,-5.87%,5.44%,4.99%,3.38%
Research & Development,-,-,-,-,-
Other SG&A,1.19B,1.12B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,30M,153M,323M,321M,(54M)
EBIT after Unusual Expense,(30M),(153M),(323M),(321M),54M
Non Operating Income/Expense,255M,231M,407M,220M,(48M)
Non-Operating Interest Income,23M,28M,32M,20M,20M
Equity in Affiliates (Pretax),18M,21M,14M,14M,10M
Interest Expense,83M,90M,80M,85M,87M
Interest Expense Growth,-,8.43%,-11.11%,6.25%,2.35%
Gross Interest Expense,83M,90M,80M,85M,87M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.88B,1.7B,1.79B,1.51B,1.7B
Pretax Income Growth,-,-9.62%,5.47%,-16.06%,13.22%
Pretax Margin,-,-,-,-,19.04%
Income Tax,434M,427M,351M,371M,441M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.45B,1.27B,1.44B,1.13B,1.26B
Minority Interest Expense,17M,16M,14M,-,2M
Net Income,1.43B,1.26B,1.43B,1.13B,1.26B
Net Income Growth,-,-12.10%,13.60%,-20.59%,11.20%
Net Margin Growth,-,-,-,-,14.09%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.43B,1.26B,1.43B,1.13B,1.26B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.43B,1.26B,1.43B,1.13B,1.26B
EPS (Basic),2.06,1.82,2.07,1.66,1.86
EPS (Basic) Growth,-,-11.69%,13.98%,-20.17%,12.13%
Basic Shares Outstanding,693.8M,690.6M,688.3M,684.7M,679M
EPS (Diluted),2.04,1.8,2.05,1.64,1.84
EPS (Diluted) Growth,-,-11.65%,14.11%,-20.07%,12.22%
Diluted Shares Outstanding,702.5M,698.9M,695.8M,691.3M,685M
EBITDA,1.98B,1.97B,2.03B,1.99B,2.03B
EBITDA Growth,-,-0.55%,3.15%,-2.26%,2.16%
EBITDA Margin,-,-,-,-,22.68%
