Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,8.79B,10.31B,10.36B,10.49B,11.79B
Sales Growth,-,17.34%,0.50%,1.24%,12.40%
Cost of Goods Sold (COGS) incl. D&A,6.32B,6.9B,6.83B,7.03B,7.68B
COGS Growth,-,9.33%,-1.03%,2.87%,9.18%
COGS excluding D&A,6.11B,6.69B,6.59B,6.79B,7.43B
Depreciation & Amortization Expense,203.4M,218.93M,241.29M,236.89M,247.65M
Depreciation,182.67M,184.13M,188.79M,195.48M,201.79M
Amortization of Intangibles,20.73M,34.8M,52.5M,41.41M,45.86M
Gross Income,2.47B,3.41B,3.53B,3.46B,4.12B
Gross Income Growth,-,37.80%,3.58%,-1.90%,18.94%
Gross Profit Margin,-,-,-,-,34.93%
SG&A Expense,387.07M,526.35M,502.07M,524.58M,563.21M
SGA Growth,-,35.98%,-4.61%,4.48%,7.36%
Research & Development,-,-,-,-,-
Other SG&A,387.07M,526.35M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,44.31M,-,11.19M,-,-
EBIT after Unusual Expense,(44.31M),-,(11.19M),-,-
Non Operating Income/Expense,(196K),(2.46M),(7.54M),(5.39M),(15.14M)
Non-Operating Interest Income,1.88M,623K,437K,941K,5.75M
Equity in Affiliates (Pretax),19.4M,32.46M,37.96M,7.7M,7.11M
Interest Expense,37.66M,43.91M,40.58M,44.08M,63.51M
Interest Expense Growth,-,16.59%,-7.57%,8.61%,44.10%
Gross Interest Expense,37.66M,43.91M,40.58M,44.08M,63.51M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.03B,2.87B,3.01B,2.9B,3.49B
Pretax Income Growth,-,41.63%,4.83%,-3.65%,20.44%
Pretax Margin,-,-,-,-,29.59%
Income Tax,454.29M,645.84M,667.63M,671M,763.17M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(6.68M),(9.44M),(10.04M),(8.42M),(11.04M)
Consolidated Net Income,1.56B,2.21B,2.33B,2.22B,2.72B
Minority Interest Expense,64.59M,95.52M,89.71M,131.49M,166M
Net Income,1.5B,2.12B,2.24B,2.09B,2.55B
Net Income Growth,-,41.20%,5.76%,-6.84%,22.18%
Net Margin Growth,-,-,-,-,21.62%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.5B,2.12B,2.24B,2.09B,2.55B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.5B,2.12B,2.24B,2.09B,2.55B
EPS (Basic),5.05,7.29,7.99,7.69,9.69
EPS (Basic) Growth,-,44.27%,9.56%,-3.79%,26.05%
Basic Shares Outstanding,296.82M,290.51M,280.45M,271.56M,263.22M
EPS (Diluted),5.04,7.28,7.97,7.67,9.67
EPS (Diluted) Growth,-,44.29%,9.57%,-3.77%,26.06%
Diluted Shares Outstanding,297.53M,291.15M,281.05M,272.09M,263.72M
EBITDA,2.29B,3.1B,3.27B,3.18B,3.8B
EBITDA Growth,-,35.43%,5.44%,-2.88%,19.77%
EBITDA Margin,-,-,-,-,32.25%
