Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,856M,632M,2.98B,6.27B,2.89B
Cash & Short Term Investments Growth,-,-26.17%,372.15%,110.02%,-53.97%
Cash Only,856M,632M,2.98B,6.27B,2.89B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.92%,1.27%,5.67%,10.69%,4.94%
Total Accounts Receivable,7.2B,6.84B,7.02B,6.98B,7.41B
Total Accounts Receivable Growth,-,-5.03%,2.63%,-0.47%,6.13%
"Accounts Receivables, Net",7.2B,6.84B,7.02B,6.98B,7.41B
"Accounts Receivables, Gross",7.29B,6.92B,7.1B,7.06B,7.52B
Bad Debt/Doubtful Accounts,(86M),(80M),(85M),(80M),(111M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.79,3.95,3.60,4.09,4.07
Inventories,2.79B,2.81B,1.76B,1.5B,1.34B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.04B,1.62B,2.02B,1.92B,2.1B
Miscellaneous Current Assets,668M,1.22B,1.4B,1.92B,2.1B
Total Current Assets,11.88B,11.9B,13.78B,16.68B,13.73B
"Net Property, Plant & Equipment",2.08B,3.78B,3.6B,3.37B,3.15B
"Property, Plant & Equipment - Gross",5.92B,7.66B,7.6B,7.12B,6.87B
Buildings,1.24B,1.23B,1.25B,842M,863M
Land & Improvements,439M,438M,437M,372M,371M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.84B,3.87B,4.01B,3.75B,3.71B
Total Investments and Advances,719M,753M,601M,636M,445M
Other Long-Term Investments,34M,146M,-,9M,-
Long-Term Note Receivables,1.84B,2.15B,2.02B,1.84B,3.01B
Intangible Assets,19.47B,19.54B,19.44B,19.36B,19.19B
Net Goodwill,16.53B,16.55B,16.61B,16.58B,16.5B
Net Other Intangibles,2.94B,2.99B,2.83B,2.77B,2.69B
Other Assets,8.24B,10.52B,12.24B,15.54B,17.62B
Total Assets,44.5B,49.59B,52.66B,58.62B,58.39B
Total Assets Growth,-,11.43%,6.21%,11.31%,-0.39%
