Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,358M,668M,1.12B,839M,456M
Cash & Short Term Investments Growth,-,86.59%,66.92%,-24.75%,-45.65%
Cash Only,358M,668M,1.12B,839M,456M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.98%,1.74%,2.90%,2.16%,1.16%
Total Accounts Receivable,1.01B,920M,848M,976M,1.15B
Total Accounts Receivable Growth,-,-8.82%,-7.83%,15.09%,17.62%
"Accounts Receivables, Net",1.01B,682M,629M,741M,895M
"Accounts Receivables, Gross",1.01B,682M,629M,741M,895M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,238M,219M,235M,253M
Accounts Receivable Turnover,11.36,12.28,11.54,11.42,11.10
Inventories,207M,244M,221M,218M,253M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,207M,244M,221M,218M,253M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,288M,249M,134M,134M,150M
Miscellaneous Current Assets,288M,249M,134M,134M,150M
Total Current Assets,1.86B,2.08B,2.32B,2.17B,2.01B
"Net Property, Plant & Equipment",31.09B,32.15B,31.78B,32.06B,32.56B
"Property, Plant & Equipment - Gross",43.47B,44.14B,43.76B,44.1B,45.16B
Buildings,-,-,-,-,-
Land & Improvements,2.34B,2.39B,2.39B,2.45B,2.41B
Computer Software and Equipment,623M,732M,732M,893M,926M
"Other Property, Plant & Equipment",30.57B,30.87B,31.32B,31.44B,32.2B
Accumulated Depreciation,12.37B,11.98B,11.99B,12.03B,12.59B
Total Investments and Advances,2.55B,2.66B,2.69B,2.82B,2.94B
Other Long-Term Investments,21M,15M,26M,25M,19M
Long-Term Note Receivables,55M,23M,23M,23M,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,678M,1.01B,1.16B,1.42B,1.37B
Total Assets,36.61B,38.38B,38.41B,38.89B,39.22B
Total Assets Growth,-,4.83%,0.08%,1.25%,0.83%
