Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,8.94B,2.76B,4.63B,6.62B,3.18B
Cash & Short Term Investments Growth,-,-69.15%,68.01%,42.87%,-51.90%
Cash Only,8.76B,2.69B,4.35B,6.46B,2.82B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,37.00%,14.35%,15.77%,21.08%,11.38%
Total Accounts Receivable,1.65B,1.02B,1.4B,1.13B,1.27B
Total Accounts Receivable Growth,-,-38.11%,36.76%,-18.80%,12.31%
"Accounts Receivables, Net",693.1M,879.2M,883.4M,940M,1.18B
"Accounts Receivables, Gross",701.1M,879.2M,883.4M,940M,1.18B
Bad Debt/Doubtful Accounts,(8M),-,-,-,-
Other Receivable,955.4M,141.1M,512M,193.1M,97.1M
Accounts Receivable Turnover,15.00,25.97,16.85,25.65,25.32
Inventories,1.4B,1.53B,1.55B,1.6B,2.18B
Finished Goods,554.3M,564.5M,517.4M,562.8M,741.2M
Work in Progress,-,-,-,-,-
Raw Materials,846.2M,964.9M,1.03B,1.04B,1.44B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,507.4M,347.1M,227.5M,401.5M,386.6M
Miscellaneous Current Assets,507.4M,347.1M,227.5M,401.5M,386.6M
Total Current Assets,12.49B,5.65B,7.81B,9.76B,7.02B
"Net Property, Plant & Equipment",5.93B,6.43B,14.38B,14.61B,14.58B
"Property, Plant & Equipment - Gross",13.2B,14.27B,22.29B,23.06B,23.63B
Buildings,557.3M,691.5M,586.8M,587.6M,555.4M
Land & Improvements,46.8M,46.8M,46M,46.2M,46.1M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",9.03B,9.75B,9.55B,10.03B,10.59B
Accumulated Depreciation,7.27B,7.84B,7.91B,8.46B,9.05B
Total Investments and Advances,602.4M,616M,684.8M,634.5M,746.5M
Other Long-Term Investments,267.7M,220M,206.1M,366M,435.3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.58B,4.27B,4.15B,4.03B,3.44B
Net Goodwill,3.54B,3.49B,3.6B,3.68B,3.28B
Net Other Intangibles,1.04B,781.8M,552.1M,349.9M,155.9M
Other Assets,412.2M,479.6M,568.6M,494.2M,398M
Total Assets,24.16B,19.22B,29.37B,31.39B,27.98B
Total Assets Growth,-,-20.44%,52.84%,6.87%,-10.88%
