Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.25B,1.38B,1.44B,1.58B,1.05B
Cash & Short Term Investments Growth,-,-38.50%,4.27%,9.30%,-33.14%
Cash Only,2.25B,1.38B,1.44B,1.48B,1.05B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,26.31%,14.62%,14.97%,14.71%,10.00%
Total Accounts Receivable,835M,998M,1.13B,1.24B,1.49B
Total Accounts Receivable Growth,-,19.52%,12.93%,9.85%,20.52%
"Accounts Receivables, Net",776M,930M,1.04B,1.17B,1.41B
"Accounts Receivables, Gross",776M,930M,1.04B,1.17B,1.41B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,59M,68M,89M,66M,87M
Accounts Receivable Turnover,5.89,5.17,4.74,5.10,4.59
Inventories,638M,679M,720M,830M,1.04B
Finished Goods,386M,416M,417M,463M,555M
Work in Progress,-,-,-,-,-
Raw Materials,252M,263M,303M,367M,483M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,128M,130M,127M,156M,195M
Miscellaneous Current Assets,128M,130M,127M,156M,195M
Total Current Assets,3.85B,3.19B,3.42B,3.8B,3.78B
"Net Property, Plant & Equipment",822M,850M,1.02B,1.12B,1.25B
"Property, Plant & Equipment - Gross",1.66B,1.78B,2.05B,2.25B,2.4B
Buildings,952M,1.01B,1.06B,1.15B,1.26B
Land & Improvements,55M,57M,58M,61M,59M
Computer Software and Equipment,141M,160M,182M,221M,260M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,838M,925M,1.03B,1.12B,1.15B
Total Investments and Advances,75M,108M,164M,191M,198M
Other Long-Term Investments,75M,108M,164M,191M,198M
Long-Term Note Receivables,19M,4M,6M,6M,11M
Intangible Assets,3.46B,4.7B,4.43B,4.96B,4.77B
Net Goodwill,2.97B,3.59B,3.6B,3.98B,3.95B
Net Other Intangibles,491M,1.11B,831M,981M,821M
Other Assets,148M,191M,209M,321M,276M
Total Assets,8.54B,9.45B,9.63B,10.71B,10.53B
Total Assets Growth,-,10.67%,1.85%,11.20%,-1.62%
