Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,201.53M,220.63M,319.58M,220.53M,348.32M
Cash & Short Term Investments Growth,-,9.48%,44.85%,-30.99%,57.95%
Cash Only,201.53M,220.63M,319.58M,220.53M,348.32M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.88%,4.35%,5.87%,3.35%,3.05%
Total Accounts Receivable,528.07M,564.83M,586.48M,609.41M,799.04M
Total Accounts Receivable Growth,-,6.96%,3.83%,3.91%,31.12%
"Accounts Receivables, Net",528.07M,564.83M,586.48M,609.41M,799.04M
"Accounts Receivables, Gross",540.54M,574.48M,598.53M,620.76M,823.41M
Bad Debt/Doubtful Accounts,(12.47M),(9.65M),(12.05M),(11.36M),(24.37M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.96,4.93,5.17,5.10,5.74
Inventories,205.73M,208.24M,263.54M,315.07M,575M
Finished Goods,124.01M,131.05M,149.73M,176.62M,334.88M
Work in Progress,34.9M,30.69M,35.64M,54.28M,76.02M
Raw Materials,83.74M,83.01M,94.32M,103.94M,195.04M
Progress Payments & Other,(36.92M),(36.51M),(16.15M),(19.78M),(30.94M)
Other Current Assets,54.33M,60.03M,54.43M,66.75M,156.64M
Miscellaneous Current Assets,54.33M,60.03M,54.43M,66.75M,156.64M
Total Current Assets,989.66M,1.05B,1.22B,1.21B,1.88B
"Net Property, Plant & Equipment",1.01B,1.03B,1.24B,1.39B,1.74B
"Property, Plant & Equipment - Gross",1.85B,1.99B,2.26B,2.54B,3.01B
Buildings,467.06M,480.36M,531.27M,567.13M,654.85M
Land & Improvements,55.42M,63.52M,65.99M,69.48M,84.02M
Computer Software and Equipment,151.36M,169.71M,181.11M,193.22M,222.62M
"Other Property, Plant & Equipment",458.44M,483.08M,508.59M,565.68M,597.64M
Accumulated Depreciation,841.12M,955.74M,1.02B,1.15B,1.27B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,8.07M,8.57M,8.13M
Intangible Assets,3.16B,2.93B,2.92B,3.92B,7.73B
Net Goodwill,-,2.32B,2.36B,3.03B,4.4B
Net Other Intangibles,3.16B,604.61M,565.47M,898.41M,3.33B
Other Assets,39.39M,60.21M,43.51M,44.15M,62.53M
Total Assets,5.2B,5.07B,5.44B,6.57B,11.42B
Total Assets Growth,-,-2.45%,7.25%,20.83%,73.76%
