Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.69B,4.07B,13.33B,15.5B,12.29B
Cash & Short Term Investments Growth,-,10.38%,227.46%,16.27%,-20.72%
Cash Only,1.85B,2.55B,11.06B,12.48B,9.49B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.51%,15.07%,36.46%,40.62%,32.90%
Total Accounts Receivable,568M,1.09B,1.13B,1.36B,1.04B
Total Accounts Receivable Growth,-,91.20%,4.05%,20.09%,-23.36%
"Accounts Receivables, Net",568M,944M,355M,573M,680M
"Accounts Receivables, Gross",568M,944M,355M,573M,680M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,142M,775M,784M,360M
Accounts Receivable Turnover,38.67,20.65,8.01,11.64,22.90
Inventories,461M,529M,414M,537M,790M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,461M,529M,414M,537M,790M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,310M,287M,295M,638M,686M
Miscellaneous Current Assets,310M,287M,295M,638M,686M
Total Current Assets,5.03B,5.97B,15.17B,18.04B,14.81B
"Net Property, Plant & Equipment",19.53B,18.37B,17.72B,16.43B,18.74B
"Property, Plant & Equipment - Gross",29.26B,29.06B,29.47B,29.16B,32.38B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",775M,248M,305M,-,376M
Accumulated Depreciation,9.73B,10.69B,11.74B,12.73B,13.64B
Total Investments and Advances,95M,49M,211M,479M,174M
Other Long-Term Investments,95M,49M,211M,479M,174M
Long-Term Note Receivables,61M,-,-,-,-
Intangible Assets,1.37B,1.27B,1.27B,1.27B,1.27B
Net Goodwill,970M,970M,970M,970M,970M
Net Other Intangibles,400M,296M,295M,295M,296M
Other Assets,164M,232M,216M,108M,385M
Total Assets,27.3B,27.01B,36.57B,38.17B,37.37B
Total Assets Growth,-,-1.06%,35.39%,4.36%,-2.10%
