Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.5B,1.69B,3.09B,3.31B,4.29B
Cash & Short Term Investments Growth,-,12.87%,82.76%,6.89%,29.53%
Cash Only,568.54M,777.99M,1.68B,1.73B,1.48B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,38.67%,28.12%,35.51%,30.64%,32.22%
Total Accounts Receivable,574.81M,835.28M,1.02B,1.39B,1.73B
Total Accounts Receivable Growth,-,45.31%,22.40%,35.95%,24.10%
"Accounts Receivables, Net",574.81M,835.28M,1.01B,1.39B,1.73B
"Accounts Receivables, Gross",579.46M,841.48M,1.02B,1.39B,1.73B
Bad Debt/Doubtful Accounts,(4.65M),(6.2M),(8.61M),-,-
Other Receivable,-,-,13M,-,-
Accounts Receivable Turnover,4.54,4.14,4.42,4.24,4.20
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,129.74M,123.28M,175.83M,219M,275M
Miscellaneous Current Assets,129.74M,123.28M,175.83M,219M,275M
Total Current Assets,2.2B,2.65B,4.29B,4.92B,6.29B
"Net Property, Plant & Equipment",347.22M,870.51M,1.11B,1.36B,1.74B
"Property, Plant & Equipment - Gross",685.83M,1.33B,1.75B,2.18B,2.73B
Buildings,6.55M,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,551.84M,739.67M,1.05B,1.3B,1.69B
"Other Property, Plant & Equipment",117.27M,178.95M,236.38M,274M,307M
Accumulated Depreciation,338.61M,457.37M,632M,825M,995M
Total Investments and Advances,596.46M,1.04B,1.5B,1.73B,2.37B
Other Long-Term Investments,581.86M,1.01B,1.47B,1.63B,2.12B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,249.43M,300.61M,394.13M,1.06B,1.06B
Net Goodwill,148.85M,156.76M,240.76M,777M,824M
Net Other Intangibles,100.58M,143.85M,153.37M,287M,232M
Other Assets,481.24M,564.08M,745.03M,1.04B,1.22B
Total Assets,3.88B,6.02B,8.72B,10.8B,13.3B
Total Assets Growth,-,55.25%,44.71%,23.90%,23.16%
