Item,2018,2019,2020,2021,2022
Cash Only,1.32B,1.9B,2.21B,2.04B,1.54B
Cash Growth,-,44.31%,16.19%,-7.56%,-24.70%
Total Investment Assets,14.98B,16.53B,8.22B,8.67B,7.52B
Investments Growth,-,10.31%,-50.24%,5.46%,-13.23%
Total Fixed Income Securities Investment,11.63B,12.72B,7.11B,7.46B,6.44B
Bonds,11.63B,12.72B,7.11B,7.46B,6.44B
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,378.8M,388.5M,290.2M,445.7M,281.3M
Common Stocks,70.5M,69M,290.2M,445.7M,56.6M
Non-Redeemable Preferred Stock,308.3M,319.5M,-,-,224.7M
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",759.6M,815M,138.3M,256.5M,295.6M
Other Investments,2.21B,2.6B,686.8M,506.3M,508.4M
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,1.58B,1.63B,1.48B,1.88B,2.3B
Premium Balance Growth,-,3.41%,-9.11%,26.53%,22.73%
"Net Property, Plant & Equipment",392.5M,503.2M,513.1M,609.1M,674.7M
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),13.66B,14.14B,25.62B,14.54B,14.08B
Separate & Variable Account Assets,1.61B,1.84B,11.5M,-,-
Deferred Charges,5.1B,6.67B,7.39B,8.81B,9.68B
Tangible Other Assets,4B,2.75B,14.93B,2.44B,1.16B
Intangible Assets,2.94B,2.88B,3.29B,3.29B,3.24B
Total Assets,31.92B,34.7B,38.04B,27.74B,26.12B
Assets - Total - 1 Year Growth,-,8.69%,9.65%,-27.09%,-5.85%
Return On Average Assets,-,-,-,-,1.03%
