Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,361.22M,409.74M,257.56M,734.6M,775.25M
Cash & Short Term Investments Growth,-,13.43%,-37.14%,185.21%,5.53%
Cash Only,361.22M,409.74M,257.56M,734.6M,775.25M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,-,-,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,22.8M,23.81M,25.04M,26.69M,29.9M
"Net Property, Plant & Equipments",-,-,-,-,-
Other Assets (Including Intangibles),318.15M,356.47M,352.33M,483.86M,433.44M
Other Assets,108.3M,150.53M,147.68M,180.97M,200.92M
Intangible Assets,209.86M,205.94M,204.65M,302.89M,232.52M
Total Assets,10.93B,11.37B,11.82B,17.38B,17.55B
Total Assets Growth,-,4.00%,3.97%,47.09%,0.99%
Return On Average Assets,-,-,-,-,24.90%
