Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.39B,2.12B,4.95B,4.54B,4.05B
Cash & Short Term Investments Growth,-,52.30%,133.63%,-8.13%,-10.98%
Cash Only,1.39B,2.12B,4.95B,4.54B,4.05B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.51%,4.30%,10.43%,11.50%,10.95%
Total Accounts Receivable,309M,268M,137M,47M,1.77B
Total Accounts Receivable Growth,-,-13.27%,-48.88%,-65.69%,"3,663.83%"
"Accounts Receivables, Net",142M,152M,137M,47M,1.72B
"Accounts Receivables, Gross",142M,152M,137M,47M,1.72B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,167M,116M,-,-,48M
Accounts Receivable Turnover,63.52,73.87,152.12,449.17,11.69
Inventories,2.33B,2.29B,1.97B,1.19B,1.18B
Finished Goods,558M,531M,420M,261M,266M
Work in Progress,647M,696M,502M,23M,24M
Raw Materials,1.13B,1.07B,1.04B,910M,890M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,269M,146M,68M,298M,226M
Miscellaneous Current Assets,269M,146M,68M,298M,226M
Total Current Assets,4.3B,4.82B,7.12B,6.08B,7.22B
"Net Property, Plant & Equipment",1.94B,2B,2.01B,1.55B,1.61B
"Property, Plant & Equipment - Gross",4.95B,5.07B,5.15B,4.43B,4.43B
Buildings,1.44B,1.46B,1.48B,1.42B,1.48B
Land & Improvements,309M,353M,348M,123M,123M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.01B,3.08B,3.14B,2.88B,2.82B
Total Investments and Advances,30.54B,23.62B,19.59B,13.53B,9.65B
Other Long-Term Investments,43M,346M,223M,65M,46M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,17.48B,17.86B,17.79B,17.48B,17.56B
Net Goodwill,5.2B,5.18B,5.18B,5.18B,5.18B
Net Other Intangibles,12.28B,12.69B,12.62B,12.31B,12.38B
Other Assets,1.21B,960M,904M,873M,919M
Total Assets,55.46B,49.27B,47.41B,39.52B,36.95B
Total Assets Growth,-,-11.16%,-3.77%,-16.64%,-6.50%
