Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,134.4M,339.1M,568.9M,516.8M,572M
Cash & Short Term Investments Growth,-,152.31%,67.77%,-9.16%,10.68%
Cash Only,134.4M,339.1M,568.9M,516.8M,572M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.35%,3.43%,5.58%,4.84%,5.12%
Total Accounts Receivable,2.36B,2.46B,2.53B,2.81B,3.04B
Total Accounts Receivable Growth,-,4.30%,2.75%,11.15%,8.32%
"Accounts Receivables, Net",2.14B,2.23B,2.33B,2.58B,2.87B
"Accounts Receivables, Gross",2.17B,2.26B,2.36B,2.62B,2.91B
Bad Debt/Doubtful Accounts,(22.4M),(26.3M),(27.9M),(37.4M),(33.9M)
Other Receivable,215.2M,229.2M,197.7M,226.2M,172.4M
Accounts Receivable Turnover,1.82,1.87,1.84,1.80,1.91
Inventories,1.03B,1.02B,1.1B,1.52B,1.65B
Finished Goods,430.4M,372.2M,434.6M,559.2M,577.5M
Work in Progress,518.8M,559.4M,621.9M,730.8M,807.4M
Raw Materials,206.9M,217.3M,165.7M,231.9M,266.7M
Progress Payments & Other,(130.6M),(131.9M),(126.6M),-,-
Other Current Assets,511.3M,258.3M,183.1M,205.2M,171.2M
Miscellaneous Current Assets,503.4M,250.1M,172M,193.2M,158.6M
Total Current Assets,4.03B,4.07B,4.38B,5.05B,5.44B
"Net Property, Plant & Equipment",756.9M,922.7M,919M,952.2M,973.4M
"Property, Plant & Equipment - Gross",1.05B,1.27B,1.34B,1.46B,1.54B
Buildings,386.4M,367.5M,513.7M,528.4M,522.9M
Land & Improvements,99.3M,94.3M,103.1M,103.8M,103.6M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,288.1M,351.2M,419.8M,512.5M,565.9M
Total Investments and Advances,700K,700K,27.2M,30.3M,56.3M
Other Long-Term Investments,-,-,24.1M,21.1M,41.8M
Long-Term Note Receivables,108.8M,138.1M,107.1M,59.7M,64M
Intangible Assets,4.23B,4.21B,4.25B,4.13B,4.23B
Net Goodwill,1.47B,1.47B,1.47B,1.46B,1.59B
Net Other Intangibles,2.77B,2.75B,2.78B,2.67B,2.64B
Other Assets,571.6M,265.5M,275.8M,254M,197.9M
Total Assets,9.97B,9.87B,10.19B,10.67B,11.17B
Total Assets Growth,-,-1.02%,3.18%,4.78%,4.67%
