Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,43M,52M,202M,144M,106M
Cash & Short Term Investments Growth,-,20.93%,288.46%,-28.71%,-26.39%
Cash Only,43M,52M,202M,144M,106M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.23%,0.27%,1.10%,0.69%,0.43%
Total Accounts Receivable,1.55B,1.53B,1.32B,1.68B,2B
Total Accounts Receivable Growth,-,-0.97%,-14.05%,27.53%,19.50%
"Accounts Receivables, Net",1.55B,1.53B,1.32B,1.68B,2B
"Accounts Receivables, Gross",1.64B,1.63B,1.42B,1.79B,2.14B
Bad Debt/Doubtful Accounts,(93M),(103M),(108M),(112M),(134M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.21,6.11,6.49,5.79,5.81
Inventories,109M,120M,125M,164M,232M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,109M,120M,125M,164M,232M
Other Current Assets,64M,140M,375M,166M,381M
Miscellaneous Current Assets,64M,140M,342M,113M,90M
Total Current Assets,1.76B,1.84B,2.02B,2.15B,2.72B
"Net Property, Plant & Equipment",10.21B,11.06B,10B,11.96B,14.94B
"Property, Plant & Equipment - Gross",15.19B,16.83B,16.3B,18.71B,22.71B
Buildings,277M,210M,215M,222M,230M
Land & Improvements,103M,101M,111M,117M,131M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",512M,676M,734M,772M,918M
Accumulated Depreciation,4.98B,5.77B,6.3B,6.75B,7.78B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.14B,6.05B,5.82B,6.14B,6.48B
Net Goodwill,5.06B,5.15B,5.17B,5.53B,6.03B
Net Other Intangibles,1.08B,895M,648M,615M,452M
Other Assets,16M,19M,38M,42M,47M
Total Assets,18.71B,19.6B,18.41B,20.85B,24.84B
Total Assets Growth,-,4.78%,-6.06%,13.24%,19.14%
