Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,850.47M,1.12B,1B,875.49M,1.8B
Cash & Short Term Investments Growth,-,31.73%,-10.68%,-12.51%,105.17%
Cash Only,431.64M,660.77M,666.2M,470.8M,434.23M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.16%,13.99%,7.71%,4.92%,13.30%
Total Accounts Receivable,392.44M,392.67M,419.42M,425.74M,506.25M
Total Accounts Receivable Growth,-,0.06%,6.81%,1.51%,18.91%
"Accounts Receivables, Net",392.44M,392.67M,419.42M,423.54M,494.65M
"Accounts Receivables, Gross",419.16M,412.88M,439.23M,438.68M,509.67M
Bad Debt/Doubtful Accounts,(26.71M),(20.21M),(19.81M),(15.14M),(15.03M)
Other Receivable,-,-,-,2.2M,11.6M
Accounts Receivable Turnover,5.83,5.89,6.07,6.86,5.54
Inventories,583.82M,554.01M,622.25M,572.24M,719.32M
Finished Goods,330.76M,298.31M,343.41M,257.34M,269.62M
Work in Progress,145.05M,146.13M,151.93M,198M,220.9M
Raw Materials,108.01M,109.57M,126.91M,116.9M,228.8M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,196.75M,113.18M,97.49M,117.01M,136.17M
Miscellaneous Current Assets,9.5M,10.85M,6.87M,7.88M,11.99M
Total Current Assets,2.02B,2.18B,2.14B,1.99B,3.16B
"Net Property, Plant & Equipment",508.69M,701.21M,693.51M,716.44M,679.56M
"Property, Plant & Equipment - Gross",1.33B,1.58B,1.65B,1.72B,1.69B
Buildings,331.56M,341.6M,363.05M,385.8M,393.62M
Land & Improvements,25.19M,25.22M,25.74M,27.94M,27.81M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,818.14M,882.83M,961.39M,1B,1.01B
Total Investments and Advances,2.66B,4.64B,9.56B,14.39B,8.83B
Other Long-Term Investments,2.66B,4.64B,9.56B,14.39B,8.83B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,352.89M,409.66M,491.41M,601.28M,738.64M
Net Goodwill,219.77M,264.13M,291.92M,347.34M,406.49M
Net Other Intangibles,133.12M,145.53M,199.5M,253.94M,332.15M
Other Assets,67.77M,77.75M,85.81M,103.85M,94.28M
Total Assets,5.61B,8.01B,12.97B,17.8B,13.5B
Total Assets Growth,-,42.73%,61.98%,37.21%,-24.15%
