Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,714M,247M,262M,302M,245M
Cash & Short Term Investments Growth,-,-65.41%,6.07%,15.27%,-18.87%
Cash Only,714M,247M,262M,302M,245M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.31%,1.36%,2.06%,2.27%,1.86%
Total Accounts Receivable,1.19B,1.06B,908M,1.39B,1.47B
Total Accounts Receivable Growth,-,-11.06%,-14.50%,53.52%,5.16%
"Accounts Receivables, Net",1.19B,1.06B,908M,1.39B,1.47B
"Accounts Receivables, Gross",1.29B,1.15B,1B,1.5B,1.58B
Bad Debt/Doubtful Accounts,(92M),(88M),(95M),(109M),(117M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.15,6.11,4.88,5.73,7.55
Inventories,401M,502M,492M,473M,427M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,401M,502M,492M,473M,427M
Other Current Assets,378M,150M,184M,211M,570M
Miscellaneous Current Assets,160M,58M,71M,156M,481M
Total Current Assets,2.69B,1.96B,1.85B,2.38B,2.71B
"Net Property, Plant & Equipment",18.42B,14.16B,8.82B,8.34B,9.01B
"Property, Plant & Equipment - Gross",46.76B,43.15B,43.63B,42.55B,43.42B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",44.9B,42.35B,42.96B,41.88B,42.97B
Accumulated Depreciation,28.34B,28.99B,34.81B,34.21B,34.41B
Total Investments and Advances,-,1.27B,1.56B,1.37B,629M
Other Long-Term Investments,-,7M,-,-,5M
Long-Term Note Receivables,-,-,-,640M,217M
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,383M,694M,526M,583M,581M
Total Assets,21.58B,18.11B,12.75B,13.3B,13.15B
Total Assets Growth,-,-16.10%,-29.61%,4.37%,-1.17%
