Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,493.9M,452M,503.4M,1.65B,1.24B
Cash & Short Term Investments Growth,-,-8.48%,11.37%,228.05%,-24.76%
Cash Only,493.9M,452M,503.4M,1.65B,1.24B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.16%,3.81%,3.69%,12.42%,10.02%
Total Accounts Receivable,696.4M,803.8M,765.1M,666.6M,765.3M
Total Accounts Receivable Growth,-,15.42%,-4.81%,-12.87%,14.81%
"Accounts Receivables, Net",658.5M,777.8M,741.4M,641.5M,745.2M
"Accounts Receivables, Gross",679.6M,799.4M,762.5M,711.1M,807.1M
Bad Debt/Doubtful Accounts,(21.1M),(21.6M),(21.1M),(69.6M),(61.9M)
Other Receivable,37.9M,26M,23.7M,25.1M,20.1M
Accounts Receivable Turnover,12.80,12.01,12.95,10.70,11.96
Inventories,1.59B,1.73B,1.62B,1.42B,1.35B
Finished Goods,1.59B,1.73B,1.62B,1.42B,1.35B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,249.2M,250.4M,510M,208.6M,297.4M
Miscellaneous Current Assets,64.7M,81.7M,350.1M,50.4M,128.4M
Total Current Assets,3.03B,3.24B,3.39B,3.94B,3.65B
"Net Property, Plant & Equipment",899.8M,984.5M,2.7B,2.51B,2.26B
"Property, Plant & Equipment - Gross",2.13B,2.4B,4.28B,4.26B,4B
Buildings,55.3M,54.8M,53.2M,54.5M,30.6M
Land & Improvements,1M,1M,1M,1M,1M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",1.43B,1.56B,1.64B,1.66B,1.54B
Accumulated Depreciation,1.23B,1.41B,1.58B,1.75B,1.75B
Total Investments and Advances,208.4M,207.1M,176.3M,164M,165.3M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.56B,7.24B,7.16B,6.47B,6.14B
Net Goodwill,3.83B,3.67B,3.68B,2.95B,2.83B
Net Other Intangibles,3.73B,3.57B,3.48B,3.52B,3.31B
Other Assets,160M,153.3M,159.3M,148.6M,140.7M
Total Assets,11.89B,11.86B,13.63B,13.29B,12.4B
Total Assets Growth,-,-0.19%,14.90%,-2.48%,-6.75%
