Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,589M,511M,5.32B,1.54B,804M
Cash & Short Term Investments Growth,-,-13.24%,940.70%,-71.04%,-47.79%
Cash Only,589M,511M,468M,1.3B,804M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.75%,1.53%,16.77%,6.10%,3.36%
Total Accounts Receivable,3.92B,3.67B,2.96B,3.61B,3.77B
Total Accounts Receivable Growth,-,-6.21%,-19.33%,21.84%,4.29%
"Accounts Receivables, Net",3.64B,3.41B,2.7B,3.41B,3.55B
"Accounts Receivables, Gross",3.73B,3.49B,2.74B,3.44B,3.58B
Bad Debt/Doubtful Accounts,(81M),(73M),(44M),(34M),(31M)
Other Receivable,272M,260M,267M,205M,220M
Accounts Receivable Turnover,5.95,6.09,5.93,5.36,5.62
Inventories,2.24B,2.21B,1.63B,1.81B,1.94B
Finished Goods,1.24B,1.19B,1.38B,1.5B,1.59B
Work in Progress,-,-,-,-,-
Raw Materials,901M,957M,211M,245M,267M
Progress Payments & Other,99M,59M,38M,69M,88M
Other Current Assets,250M,247M,1.33B,132M,259M
Miscellaneous Current Assets,250M,247M,1.33B,132M,259M
Total Current Assets,7B,6.64B,11.24B,7.1B,6.77B
"Net Property, Plant & Equipment",13.47B,13.83B,11.35B,10.82B,10.86B
"Property, Plant & Equipment - Gross",33.96B,34.34B,28.16B,28.38B,29.23B
Buildings,-,-,-,-,-
Land & Improvements,402M,391M,18M,18M,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",1.23B,1.22B,-,-,28.8B
Accumulated Depreciation,20.49B,20.51B,16.81B,17.56B,18.37B
Total Investments and Advances,1.65B,1.72B,1.18B,755M,186M
Other Long-Term Investments,1.65B,1.72B,1.18B,755M,186M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.77B,3.72B,3.42B,3.4B,3.26B
Net Goodwill,3.37B,3.35B,3.12B,3.13B,3.04B
Net Other Intangibles,393M,368M,301M,268M,220M
Other Assets,7.7B,7.57B,4.54B,3.17B,2.87B
Total Assets,33.58B,33.47B,31.72B,25.24B,23.94B
Total Assets Growth,-,-0.31%,-5.24%,-20.41%,-5.16%
