Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,70.5M,47.1M,38.2M,29M,143.4M
Cash & Short Term Investments Growth,-,-33.19%,-18.90%,-24.08%,394.48%
Cash Only,70.5M,47.1M,38.2M,29M,143.4M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.33%,0.21%,0.16%,0.12%,0.49%
Total Accounts Receivable,1.35B,1.4B,1.33B,1.51B,1.98B
Total Accounts Receivable Growth,-,3.86%,-5.30%,13.56%,31.46%
"Accounts Receivables, Net",1.1B,1.13B,1.09B,1.27B,1.68B
"Accounts Receivables, Gross",1.14B,1.16B,1.13B,1.31B,1.73B
Bad Debt/Doubtful Accounts,(34.3M),(34M),(34.7M),(38.5M),(51.9M)
Other Receivable,247.8M,276.7M,237M,237M,305.7M
Accounts Receivable Turnover,7.43,7.34,7.64,7.49,6.81
Inventories,53.1M,56.8M,59.1M,72.2M,96.6M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,53.1M,56.8M,59.1M,72.2M,96.6M
Other Current Assets,90.3M,99.5M,96.2M,101.2M,134.2M
Miscellaneous Current Assets,4.5M,11.6M,6.7M,3M,5.5M
Total Current Assets,1.56B,1.61B,1.52B,1.71B,2.36B
"Net Property, Plant & Equipment",8.02B,8.63B,8.95B,9.49B,11.02B
"Property, Plant & Equipment - Gross",16.75B,17.9B,18.78B,20.04B,22.52B
Buildings,1.28B,1.34B,1.4B,1.51B,1.7B
Land & Improvements,7.72B,8.09B,8.63B,9.23B,10.35B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.73B,9.27B,9.83B,10.55B,11.5B
Total Investments and Advances,193.9M,280.8M,368.3M,286.3M,514.8M
Other Long-Term Investments,193.9M,280.8M,368.3M,286.3M,514.8M
Long-Term Note Receivables,68M,110.7M,103.3M,98.9M,104.6M
Intangible Assets,11.51B,11.77B,12.22B,13.09B,14.8B
Net Goodwill,11.4B,11.63B,12.05B,12.83B,14.45B
Net Other Intangibles,106.5M,133.9M,173.1M,259.5M,347.2M
Other Assets,264M,291.9M,276.1M,286.1M,258.6M
Total Assets,21.62B,22.68B,23.43B,24.96B,29.05B
Total Assets Growth,-,4.94%,3.31%,6.49%,16.42%
